name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Nikola Jokic,DEN,C,74,2004,1019,584,63,110,58.3,81.0,33.7,379,667,97,281,2474,66,19,4167.8
Giannis Antetokounmpo,MIL,PF,67,2002,778,388,91,72,55.3,72.2,29.3,553,618,71,219,2204,46,4,3624.6
Joel Embiid,PHI,C,68,2079,796,285,99,76,49.9,81.4,37.1,654,573,93,214,2295,46,2,3597.7
Trae Young,ATL,PG,76,2155,284,737,7,72,46.0,90.4,38.2,500,478,233,303,2651,42,0,3456.3
Luka Doncic,DAL,PG,65,1847,593,568,36,75,45.7,74.4,35.3,364,440,201,292,2300,44,10,3340.6
Jayson Tatum,BOS,SF,76,2046,609,334,49,75,45.3,85.3,35.3,400,478,230,217,2729,22,0,3308.8
Dejounte Murray,SA,PG,68,1438,563,627,23,138,46.2,79.4,32.7,196,477,96,180,2365,39,13,3196.1
Karl-Anthony Towns,MIN,C,74,1818,727,269,83,72,52.9,82.2,41.0,384,492,150,226,2472,40,1,3177.9
DeMar DeRozan,CHI,SG,76,2118,391,374,24,68,50.4,87.7,35.2,520,724,50,180,2741,6,0,3152.2
LaMelo Ball,CHA,PG,75,1508,501,571,30,119,42.9,87.2,38.9,212,318,220,245,2418,23,5,3018.7
James Harden,PHI,SG,65,1432,500,667,36,81,41.0,87.7,33.0,470,259,148,284,2419,42,11,2982.5
Miles Bridges,CHA,SF,80,1613,559,300,67,74,49.1,80.2,33.2,267,442,154,150,2834,15,0,2865.8
Pascal Siakam,TOR,PF,68,1551,580,360,42,85,49.4,74.9,34.4,284,521,75,181,2577,30,2,2860.0
Russell Westbrook,LAL,PG,78,1441,580,550,20,75,44.4,66.7,29.8,266,469,79,295,2677,28,10,2857.0
LeBron James,LAL,SF,56,1695,459,349,59,73,52.4,75.6,35.9,254,479,161,196,2084,21,6,2837.3
Julius Randle,NY,PF,72,1447,716,370,39,53,41.1,75.6,30.8,303,392,120,245,2542,31,1,2800.2
Devin Booker,PHO,SG,68,1822,342,329,26,77,46.6,86.8,38.3,315,479,183,162,2342,5,0,2769.9
Nikola Vucevic,CHI,C,73,1288,804,236,71,71,47.3,76.0,31.4,92,442,104,136,2417,44,0,2754.8
Kevin Durant,BKN,SF,55,1643,407,351,52,48,51.8,91.0,38.3,372,463,115,191,2046,18,4,2666.9
Tyrese Haliburton,IND,PG,77,1181,311,628,49,134,47.3,84.2,41.4,160,269,161,199,2692,25,0,2663.2
