name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Stephen Curry,GS,PG,64,1630,335,404,23,85,43.7,92.3,38.0,275,250,285,206,2211,12,2,2648.0
Jonas Valanciunas,NO,C,74,1314,843,190,60,41,54.4,82.0,36.1,237,453,57,179,2240,50,0,2633.6
Donovan Mitchell,UTA,SG,67,1733,282,358,12,99,44.8,85.3,35.5,267,385,232,200,2264,3,0,2630.4
Darius Garland,CLE,PG,68,1473,224,583,7,89,46.2,89.2,38.3,215,368,174,248,2430,29,1,2560.3
Rudy Gobert,UTA,C,66,1027,968,72,137,45,71.3,69.0,0.0,303,362,0,119,2117,53,0,2541.6
Domantas Sabonis,SAC,PF,62,1171,752,323,27,59,57.3,74.1,31.2,246,404,39,195,2133,46,5,2534.9
Ja Morant,MEM,PG,57,1564,325,384,22,66,49.3,76.1,34.4,316,492,88,196,1888,10,1,2510.0
Chris Paul,PHO,PG,65,958,283,702,20,121,49.3,83.7,31.7,169,300,63,153,2139,34,2,2479.6
Anthony Edwards,MIN,SG,72,1533,343,275,46,105,44.1,78.6,35.7,220,334,215,190,2464,4,0,2469.1
Fred VanVleet,TOR,PG,67,1320,289,434,35,111,40.3,87.4,37.7,194,200,242,170,2461,10,1,2439.8
Zach LaVine,CHI,SG,67,1635,308,303,23,41,47.6,85.3,38.9,320,380,185,171,2325,0,0,2416.1
Terry Rozier,CHA,PG,73,1408,315,326,25,93,44.4,85.2,37.4,150,296,222,96,2457,3,1,2415.0
Jaylen Brown,BOS,SG,66,1559,404,231,18,70,47.3,75.8,35.8,241,410,166,178,2219,11,2,2388.3
Christian Wood,HOU,PF,68,1218,686,155,65,54,50.1,62.3,39.0,207,309,131,126,2091,33,0,2385.7
Jrue Holiday,MIL,PG,67,1225,301,457,29,108,50.1,76.1,41.1,137,346,132,183,2207,12,0,2362.7
Scottie Barnes,TOR,SF,74,1134,557,256,55,80,49.2,73.5,30.1,158,401,58,136,2617,13,0,2320.4
Jaren Jackson Jr.,MEM,PF,78,1272,454,86,177,73,41.5,82.3,31.9,284,302,128,130,2126,7,0,2315.8
Tobias Harris,PHI,SF,73,1257,496,251,43,48,48.2,84.2,36.7,170,392,101,116,2543,9,1,2294.7
Khris Middleton,MIL,SF,66,1325,356,358,18,76,44.3,89.0,37.3,259,290,162,190,2141,4,0,2287.2
Saddiq Bey,DET,SF,82,1321,441,233,16,73,39.6,82.7,34.6,210,239,211,96,2703,6,0,2281.7
Shai Gilgeous-Alexander,OKC,SG,56,1371,278,331,46,71,45.3,81.0,30.0,328,388,89,154,1942,6,1,2281.1
Clint Capela,ATL,C,74,820,877,92,93,55,61.3,47.3,0.0,80,370,0,44,2039,35,0,2262.4
Jalen Brunson,DAL,PG,79,1285,309,377,3,66,50.2,84.0,37.3,179,412,94,124,2524,7,0,2235.3
Desmond Bane,MEM,SG,76,1384,334,208,29,92,46.1,90.3,43.6,140,280,228,111,2266,0,0,2227.8
CJ McCollum,NO,SG,62,1370,269,315,22,70,46.0,68.2,38.8,116,354,182,127,2142,3,0,2222.3
Jimmy Butler,MIA,SF,57,1219,336,312,27,94,48.0,87.0,23.3,396,371,27,121,1931,12,4,2211.2
Evan Mobley,CLE,C,69,1034,570,174,115,56,50.8,66.3,25.0,167,399,23,132,2330,21,0,2189.0
Kyle Kuzma,WAS,PF,66,1130,561,233,57,42,45.2,71.2,34.1,156,295,128,169,2202,24,1,2181.7
Jakob Poeltl,SA,C,68,915,634,189,118,45,61.8,49.5,100.0,94,409,1,109,1969,28,0,2176.3
RJ Barrett,NY,SG,70,1402,408,208,16,43,40.8,71.4,34.2,290,349,138,151,2415,4,0,2170.6
Tyrese Maxey,PHI,PG,75,1311,240,321,32,55,48.5,86.6,42.7,213,351,132,88,2650,1,0,2166.5
De'Aaron Fox,SAC,PG,59,1367,231,330,25,68,47.3,75.0,29.7,261,442,74,168,2081,5,0,2157.2
Jordan Poole,GS,PG,76,1405,260,305,23,60,44.8,92.5,36.4,246,263,211,187,2283,2,0,2153.5
Bam Adebayo,MIA,C,56,1068,564,190,44,80,55.6,75.3,0.0,256,406,0,148,1825,27,0,2129.8
D'Angelo Russell,MIN,PG,65,1176,216,460,22,62,41.1,82.5,34.0,198,225,176,165,2075,12,0,2128.2
Keldon Johnson,SA,SF,75,1278,457,158,14,58,46.6,75.6,39.8,177,312,159,92,2391,6,0,2115.4
Reggie Jackson,LAC,PG,75,1263,271,359,15,55,39.2,84.7,32.6,138,312,167,173,2336,5,0,2093.7
Bobby Portis,MIL,PF,72,1052,657,86,51,53,47.9,75.2,39.3,85,284,133,90,2028,24,0,2087.4
Tyler Herro,MIA,SG,66,1367,329,263,8,44,44.7,86.8,39.9,190,326,175,174,2151,3,0,2086.3
Cade Cunningham,DET,SG,64,1114,354,356,43,78,41.6,84.5,31.4,142,315,114,234,2086,10,2,2080.8
Harrison Barnes,SAC,SF,77,1265,432,186,14,53,46.9,82.6,39.4,341,249,142,118,2584,5,0,2078.4
Buddy Hield,IND,SG,81,1265,353,229,25,72,40.6,87.4,36.6,111,184,262,153,2497,1,0,2073.1
Brandon Ingram,NO,SF,55,1246,320,307,26,34,46.1,82.6,32.7,266,379,74,151,1868,7,0,2059.5
Franz Wagner,ORL,SF,79,1197,356,231,34,68,46.8,86.3,35.4,189,360,96,119,2425,2,0,2055.7
Mikal Bridges,PHO,SF,82,1162,347,185,36,96,53.4,83.4,36.9,131,343,115,68,2854,0,0,2051.9
Andrew Wiggins,GS,SF,73,1256,324,161,51,76,46.6,63.4,39.3,149,318,157,111,2329,1,0,2029.3
Wendell Carter Jr.,ORL,C,62,931,648,171,43,36,52.5,69.1,32.7,143,289,70,117,1847,33,0,2006.1
Cole Anthony,ORL,PG,65,1062,348,369,17,46,39.1,85.4,33.8,216,225,132,170,2055,9,0,1989.1
Derrick White,BOS,PG,75,992,261,366,58,64,42.1,86.4,31.2,203,222,115,119,2198,2,0,1979.2
Aaron Gordon,DEN,PF,75,1126,439,188,44,44,52.0,74.3,33.5,171,347,87,133,2374,6,0,1977.8
Steven Adams,MEM,C,76,528,760,256,60,65,54.7,54.3,0.0,108,210,0,115,1998,14,0,1959.0
Mike Conley,UTA,PG,72,986,217,385,21,96,43.5,79.6,40.8,129,175,169,123,2057,2,0,1934.9
Gary Trent Jr.,TOR,SG,70,1283,190,141,18,123,41.4,85.3,38.3,174,241,209,71,2445,0,0,1933.5
Marcus Smart,BOS,PG,71,861,269,416,18,119,41.8,79.3,33.1,142,181,119,160,2295,2,0,1921.8
Jordan Clarkson,UTA,SG,79,1266,273,194,16,66,41.9,82.8,31.8,144,276,190,129,2141,1,0,1919.6
Will Barton,DEN,SG,71,1043,340,276,31,55,43.8,80.3,36.5,102,235,157,127,2277,1,0,1910.0
Alec Burks,NY,SG,81,944,397,239,26,85,39.1,82.2,40.4,217,128,157,91,2316,2,0,1909.9
Jarrett Allen,CLE,C,56,904,602,92,75,44,67.7,70.8,10.0,165,368,1,94,1809,32,0,1908.4
Deandre Ayton,PHO,C,58,997,593,84,40,40,63.4,74.6,36.8,106,435,7,91,1711,30,0,1903.6
Al Horford,BOS,PF,69,701,530,232,92,49,46.7,84.2,33.6,80,177,89,65,2004,15,0,1902.0
Kyle Lowry,MIA,PG,63,844,282,474,17,67,44.0,85.1,37.7,148,132,144,168,2131,16,2,1893.4
Kevin Love,CLE,PF,74,1007,536,160,18,26,43.0,83.8,39.2,166,140,187,98,1665,15,0,1880.2
Jusuf Nurkic,POR,C,56,842,619,157,34,62,53.5,69.0,26.8,185,306,15,143,1576,30,0,1869.3
Kristaps Porzingis,WAS,PF,51,1030,411,119,84,37,45.9,86.7,31.0,248,274,78,81,1480,15,0,1862.7
Ivica Zubac,LAC,C,76,785,644,120,77,36,62.6,72.7,,165,310,0,114,1851,25,0,1849.8
Jae'Sean Tate,HOU,SF,78,919,420,222,41,72,49.8,70.7,31.2,130,300,63,139,2054,7,0,1843.0
Kevin Porter Jr.,HOU,PG,61,949,267,376,22,69,41.5,64.2,37.5,124,180,155,192,1906,10,1,1823.4
Robert Williams III,BOS,C,61,607,588,121,134,56,73.6,72.2,0.0,65,271,0,63,1802,25,1,1811.1
Mo Bamba,ORL,C,71,756,572,85,118,38,48.0,78.1,38.1,57,189,107,77,1822,20,0,1804.9
Spencer Dinwiddie,DAL,PG,67,919,279,346,13,44,41.6,77.4,33.9,195,194,112,104,1979,7,1,1782.8
Anthony Davis,LAL,PF,40,927,394,122,90,49,53.2,71.3,18.6,174,357,13,82,1402,19,0,1778.8
Monte Morris,DEN,PG,75,945,226,333,14,55,48.4,86.9,39.5,73,250,124,78,2236,0,0,1775.7
Kelly Oubre Jr.,CHA,SF,76,1137,302,84,31,77,44.0,66.7,34.5,126,219,191,67,1994,1,0,1774.4
Andre Drummond,BKN,C,73,580,681,131,69,78,57.0,52.4,0.0,86,247,0,115,1434,18,0,1772.7
Terance Mann,LAC,SG,81,872,425,209,21,55,48.4,78.0,36.5,128,258,76,84,2316,6,0,1763.5
Malik Monk,LAL,SG,76,1048,256,218,29,61,47.3,79.5,39.1,93,218,173,122,2138,1,0,1740.2
Montrezl Harrell,CHA,PF,71,932,431,145,43,29,64.5,71.6,23.5,212,354,4,72,1637,7,0,1738.7
Bojan Bogdanovic,UTA,SF,69,1248,296,120,1,34,45.5,85.8,38.7,223,241,181,118,2130,3,0,1735.2
Mitchell Robinson,NY,C,72,610,618,38,133,58,76.1,48.6,,88,261,0,60,1847,20,0,1730.6
Dorian Finney-Smith,DAL,SF,80,880,375,150,39,88,47.1,67.5,39.5,56,154,172,80,2643,1,0,1729.0
