name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Harrison Barnes,SAC,SF,77,1265,361,115,13,50,42.0,82.4,39.5,229,257,174,98,2532,4,0,1898.7
Paul Millsap,DEN,PF,70,883,505,141,54,83,48.3,72.7,36.5,181,264,58,95,1894,14,0,1879.5
Enes Freedom,POR,C,67,915,659,116,26,32,54.9,78.7,29.4,155,365,10,118,1639,32,0,1877.8
Terrence Ross,ORL,SG,81,1223,280,135,29,72,42.8,87.5,38.3,126,223,217,90,2150,0,0,1873.5
Bam Adebayo,MIA,C,82,729,597,184,65,71,57.6,73.5,20.0,166,277,3,121,1912,11,0,1872.4
Rudy Gay,SA,SF,69,946,470,182,34,54,50.4,81.6,40.2,120,302,74,114,1842,9,0,1845.0
D.J. Augustin,ORL,PG,81,948,203,426,4,52,47.0,86.6,42.1,181,187,131,128,2269,4,0,1814.6
Trevor Ariza,WAS,SF,69,863,371,252,21,91,39.9,79.3,33.4,130,149,145,106,2348,5,0,1804.2
Marcus Morris Sr.,BOS,PF,75,1046,458,109,25,43,44.7,84.4,37.5,146,231,146,92,2090,5,0,1803.1
Ricky Rubio,UTA,PG,68,864,243,416,10,91,40.4,85.5,31.1,195,216,79,180,1899,7,0,1801.6
Larry Nance Jr.,CLE,PF,67,627,552,214,40,100,52.0,71.6,33.7,96,216,33,97,1795,18,0,1793.4
Mason Plumlee,DEN,C,82,637,524,243,76,66,59.3,56.1,20.0,111,260,2,126,1730,9,0,1788.3
Al-Farouq Aminu,POR,PF,81,760,610,104,33,68,43.3,86.7,34.3,150,161,96,72,2291,12,0,1778.0
Spencer Dinwiddie,BKN,PG,68,1143,166,311,17,40,44.2,80.6,33.5,287,242,124,152,1914,2,0,1770.7
Kelly Oubre Jr.,PHO,SF,69,1047,325,84,59,84,44.5,77.5,32.0,189,267,108,103,1934,3,0,1746.0
Cedi Osman,CLE,SF,76,991,357,195,11,60,42.7,77.9,34.8,141,230,130,114,2443,3,0,1739.9
Bogdan Bogdanovic,SAC,SG,70,990,243,267,15,72,41.8,82.7,36.0,134,227,134,117,1947,1,0,1739.1
