Home,Home Points,Visitor,Visitor Points
Indiana Pacers,97,Orlando Magic,87
Miami Heat,107,Chicago Bulls,95
Los Angeles Lakers,116,Los Angeles Clippers,103
Cleveland Cavaliers,98,Brooklyn Nets,94
Toronto Raptors,93,Boston Celtics,87
Philadelphia 76ers,114,Miami Heat,110
Detroit Pistons,113,Washington Wizards,102
New York Knicks,90,Milwaukee Bucks,83
New Orleans Pelicans,90,Indiana Pacers,95
Minnesota Timberwolves,120,Orlando Magic,115
Houston Rockets,96,Charlotte Bobcats,83
San Antonio Spurs,101,Memphis Grizzlies,94
Dallas Mavericks,118,Atlanta Hawks,109
Utah Jazz,98,Oklahoma City Thunder,101
Phoenix Suns,104,Portland Trail Blazers,91
Sacramento Kings,90,Denver Nuggets,88
Golden State Warriors,125,Los Angeles Lakers,94
Chicago Bulls,82,New York Knicks,81
Los Angeles Clippers,126,Golden State Warriors,115
Charlotte Bobcats,90,Cleveland Cavaliers,84
Orlando Magic,110,New Orleans Pelicans,90
Washington Wizards,102,Philadelphia 76ers,109
Atlanta Hawks,102,Toronto Raptors,95
Boston Celtics,98,Milwaukee Bucks,105
Brooklyn Nets,101,Miami Heat,100
Houston Rockets,113,Dallas Mavericks,105
Memphis Grizzlies,111,Detroit Pistons,108
Minnesota Timberwolves,100,Oklahoma City Thunder,81
Denver Nuggets,98,Portland Trail Blazers,113
Phoenix Suns,87,Utah Jazz,84
Sacramento Kings,101,Los Angeles Clippers,110
Los Angeles Lakers,85,San Antonio Spurs,91
Indiana Pacers,89,Cleveland Cavaliers,74
Philadelphia 76ers,107,Chicago Bulls,104
New Orleans Pelicans,105,Charlotte Bobcats,84
Dallas Mavericks,111,Memphis Grizzlies,99
Milwaukee Bucks,90,Toronto Raptors,97
Utah Jazz,93,Houston Rockets,104
Portland Trail Blazers,115,San Antonio Spurs,105
Golden State Warriors,98,Sacramento Kings,87
Detroit Pistons,87,Boston Celtics,77
Miami Heat,103,Washington Wizards,93
Orlando Magic,107,Brooklyn Nets,86
Oklahoma City Thunder,103,Phoenix Suns,96
New York Knicks,100,Minnesota Timberwolves,109
Los Angeles Lakers,105,Atlanta Hawks,103
Cleveland Cavaliers,93,Minnesota Timberwolves,92
Philadelphia 76ers,90,Golden State Warriors,110
Memphis Grizzlies,95,Boston Celtics,88
Los Angeles Clippers,137,Houston Rockets,118
Toronto Raptors,95,Miami Heat,104
Brooklyn Nets,104,Utah Jazz,88
Detroit Pistons,91,Indiana Pacers,99
New York Knicks,97,Charlotte Bobcats,102
New Orleans Pelicans,98,Phoenix Suns,104
Dallas Mavericks,123,Los Angeles Lakers,104
Denver Nuggets,94,San Antonio Spurs,102
Portland Trail Blazers,101,Houston Rockets,116
Sacramento Kings,100,Atlanta Hawks,105
Charlotte Bobcats,92,Toronto Raptors,90
Indiana Pacers,97,Chicago Bulls,80
Orlando Magic,98,Los Angeles Clippers,90
Philadelphia 76ers,102,Washington Wizards,116
Boston Celtics,97,Utah Jazz,87
Memphis Grizzlies,84,New Orleans Pelicans,99
Milwaukee Bucks,109,Cleveland Cavaliers,104
Minnesota Timberwolves,93,Golden State Warriors,106
San Antonio Spurs,99,Phoenix Suns,96
Oklahoma City Thunder,107,Dallas Mavericks,93
Miami Heat,102,Los Angeles Clippers,97
Denver Nuggets,109,Atlanta Hawks,107
Houston Rockets,98,Los Angeles Lakers,99
Charlotte Bobcats,91,New York Knicks,101
Indiana Pacers,91,Toronto Raptors,84
Orlando Magic,89,Boston Celtics,91
Philadelphia 76ers,94,Cleveland Cavaliers,79
Washington Wizards,112,Brooklyn Nets,108
Detroit Pistons,110,Oklahoma City Thunder,119
Chicago Bulls,97,Utah Jazz,73
Minnesota Timberwolves,116,Dallas Mavericks,108
New Orleans Pelicans,96,Los Angeles Lakers,85
San Antonio Spurs,76,Golden State Warriors,74
Phoenix Suns,114,Denver Nuggets,103
Portland Trail Blazers,104,Sacramento Kings,91
Toronto Raptors,115,Utah Jazz,91
Atlanta Hawks,104,Orlando Magic,94
Brooklyn Nets,91,Indiana Pacers,96
Cleveland Cavaliers,127,Philadelphia 76ers,125
Miami Heat,110,Boston Celtics,111
Houston Rockets,94,Los Angeles Clippers,107
Memphis Grizzlies,108,Golden State Warriors,90
Milwaukee Bucks,83,Dallas Mavericks,91
