Home,Home Points,Visitor,Visitor Points
Portland Trail Blazers,104,Milwaukee Bucks,110
Los Angeles Clippers,94,Washington Wizards,87
Toronto Raptors,108,Los Angeles Lakers,103
Orlando Magic,105,Dallas Mavericks,111
Detroit Pistons,103,Boston Celtics,88
Denver Nuggets,121,Oklahoma City Thunder,118
Memphis Grizzlies,81,Indiana Pacers,82
New Orleans Hornets,114,Sacramento Kings,105
Atlanta Hawks,104,Minnesota Timberwolves,96
Charlotte Bobcats,94,Houston Rockets,100
New York Knicks,85,Brooklyn Nets,88
Golden State Warriors,106,Los Angeles Clippers,99
Philadelphia 76ers,85,San Antonio Spurs,90
Chicago Bulls,95,Los Angeles Lakers,83
Portland Trail Blazers,95,Washington Wizards,98
Cleveland Cavaliers,95,Boston Celtics,90
Detroit Pistons,105,Orlando Magic,90
Milwaukee Bucks,110,Philadelphia 76ers,102
Los Angeles Clippers,97,Oklahoma City Thunder,109
Charlotte Bobcats,92,Atlanta Hawks,104
Miami Heat,123,Toronto Raptors,116
Chicago Bulls,85,Detroit Pistons,82
Houston Rockets,95,Denver Nuggets,105
Memphis Grizzlies,106,Los Angeles Lakers,93
Minnesota Timberwolves,83,Brooklyn Nets,91
San Antonio Spurs,106,New Orleans Hornets,102
Utah Jazz,92,Washington Wizards,88
Portland Trail Blazers,100,Indiana Pacers,80
Sacramento Kings,96,Phoenix Suns,106
Golden State Warriors,104,Oklahoma City Thunder,99
Orlando Magic,95,Toronto Raptors,97
Boston Celtics,86,New York Knicks,89
Phoenix Suns,93,Los Angeles Clippers,88
Washington Wizards,114,Minnesota Timberwolves,101
Atlanta Hawks,123,Boston Celtics,111
Cleveland Cavaliers,113,Milwaukee Bucks,108
Miami Heat,110,Detroit Pistons,88
Chicago Bulls,103,Golden State Warriors,87
Dallas Mavericks,107,San Antonio Spurs,113
Memphis Grizzlies,101,Brooklyn Nets,77
New Orleans Hornets,82,Houston Rockets,100
Sacramento Kings,95,Oklahoma City Thunder,105
Los Angeles Lakers,102,Utah Jazz,84
Philadelphia 76ers,97,New York Knicks,80
Toronto Raptors,98,Cleveland Cavaliers,99
Washington Wizards,86,Chicago Bulls,73
Charlotte Bobcats,102,Minnesota Timberwolves,101
Houston Rockets,119,Brooklyn Nets,106
Milwaukee Bucks,109,Golden State Warriors,102
San Antonio Spurs,108,Phoenix Suns,99
Denver Nuggets,121,Sacramento Kings,93
Utah Jazz,114,Indiana Pacers,110
Portland Trail Blazers,101,Los Angeles Clippers,100
Boston Celtics,100,Miami Heat,98
Los Angeles Lakers,105,Oklahoma City Thunder,96
Memphis Grizzlies,83,New Orleans Hornets,91
Orlando Magic,102,Detroit Pistons,104
New York Knicks,106,Atlanta Hawks,104
Dallas Mavericks,110,Phoenix Suns,95
Los Angeles Clippers,96,Portland Trail Blazers,83
Philadelphia 76ers,100,Memphis Grizzlies,103
Toronto Raptors,102,Golden State Warriors,114
Washington Wizards,94,Sacramento Kings,96
Brooklyn Nets,97,Orlando Magic,77
Chicago Bulls,93,Charlotte Bobcats,85
Denver Nuggets,102,Indiana Pacers,101
Utah Jazz,80,Houston Rockets,125
Cleveland Cavaliers,95,Golden State Warriors,108
Detroit Pistons,90,Milwaukee Bucks,117
Portland Trail Blazers,106,Dallas Mavericks,104
Los Angeles Lakers,111,New Orleans Hornets,106
Indiana Pacers,98,Detroit Pistons,79
Philadelphia 76ers,92,Washington Wizards,84
Atlanta Hawks,93,Toronto Raptors,92
Boston Celtics,99,Sacramento Kings,81
New York Knicks,113,Orlando Magic,97
Brooklyn Nets,85,Miami Heat,105
Milwaukee Bucks,88,Chicago Bulls,104
Minnesota Timberwolves,90,Los Angeles Clippers,96
San Antonio Spurs,102,Charlotte Bobcats,78
Denver Nuggets,118,Houston Rockets,110
Utah Jazz,104,New Orleans Hornets,99
Phoenix Suns,92,Los Angeles Lakers,86
Oklahoma City Thunder,106,Memphis Grizzlies,89
Golden State Warriors,100,Dallas Mavericks,97
Indiana Pacers,102,Miami Heat,89
Toronto Raptors,98,Los Angeles Clippers,73
Boston Celtics,97,Orlando Magic,84
Brooklyn Nets,93,Chicago Bulls,89
Detroit Pistons,117,Cleveland Cavaliers,99
New York Knicks,96,Milwaukee Bucks,86
Philadelphia 76ers,89,Sacramento Kings,80
Memphis Grizzlies,85,Washington Wizards,76
Denver Nuggets,113,New Orleans Hornets,98
Phoenix Suns,99,Dallas Mavericks,109
Utah Jazz,86,Portland Trail Blazers,77
Minnesota Timberwolves,100,Los Angeles Lakers,111
Atlanta Hawks,76,Chicago Bulls,93
Cleveland Cavaliers,115,Oklahoma City Thunder,110
New York Knicks,120,Sacramento Kings,81
Houston Rockets,109,Charlotte Bobcats,95
Minnesota Timberwolves,115,New Orleans Hornets,86
Milwaukee Bucks,107,Orlando Magic,98
San Antonio Spurs,96,Washington Wizards,86
Portland Trail Blazers,105,Utah Jazz,99
Golden State Warriors,113,Phoenix Suns,93
Boston Celtics,106,Los Angeles Clippers,104
Detroit Pistons,97,Los Angeles Lakers,98
Toronto Raptors,85,Miami Heat,100
Indiana Pacers,111,Chicago Bulls,101
Philadelphia 76ers,78,Orlando Magic,61
Washington Wizards,98,Los Angeles Clippers,90
Miami Heat,99,Charlotte Bobcats,94
New York Knicks,99,Detroit Pistons,85
Minnesota Timberwolves,98,Portland Trail Blazers,100
Oklahoma City Thunder,112,Dallas Mavericks,91
Utah Jazz,98,Sacramento Kings,91
Indiana Pacers,114,Atlanta Hawks,103
Brooklyn Nets,83,Los Angeles Lakers,92
Houston Rockets,140,Golden State Warriors,109
Memphis Grizzlies,90,Phoenix Suns,96
Denver Nuggets,112,Milwaukee Bucks,104
Cleveland Cavaliers,122,Charlotte Bobcats,95
Orlando Magic,76,Los Angeles Clippers,86
Philadelphia 76ers,69,Indiana Pacers,88
Toronto Raptors,95,Boston Celtics,99
Washington Wizards,106,New York Knicks,96
Atlanta Hawks,103,Memphis Grizzlies,92
Detroit Pistons,90,Brooklyn Nets,93
Miami Heat,114,Houston Rockets,108
New Orleans Hornets,93,Phoenix Suns,84
Oklahoma City Thunder,119,Golden State Warriors,98
Dallas Mavericks,105,Portland Trail Blazers,99
Minnesota Timberwolves,94,San Antonio Spurs,104
Utah Jazz,100,Milwaukee Bucks,86
Boston Celtics,116,Los Angeles Lakers,95
Denver Nuggets,128,Chicago Bulls,96
Charlotte Bobcats,93,Los Angeles Lakers,100
Indiana Pacers,98,Toronto Raptors,100
Washington Wizards,89,Brooklyn Nets,74
Atlanta Hawks,100,New Orleans Hornets,111
Cleveland Cavaliers,119,Orlando Magic,108
Detroit Pistons,119,San Antonio Spurs,109
Houston Rockets,118,Portland Trail Blazers,103
Memphis Grizzlies,99,Golden State Warriors,93
Miami Heat,111,Los Angeles Clippers,89
Minnesota Timberwolves,94,New York Knicks,100
Oklahoma City Thunder,127,Phoenix Suns,96
Utah Jazz,89,Chicago Bulls,93
Cleveland Cavaliers,103,Denver Nuggets,111
Philadelphia 76ers,87,Charlotte Bobcats,76
Dallas Mavericks,116,Golden State Warriors,91
Milwaukee Bucks,100,Detroit Pistons,105
Sacramento Kings,120,Utah Jazz,109
New York Knicks,88,Los Angeles Clippers,102
Miami Heat,107,Los Angeles Lakers,97
Boston Celtics,118,Denver Nuggets,114
Memphis Grizzlies,105,Minnesota Timberwolves,88
Orlando Magic,110,Portland Trail Blazers,104
Toronto Raptors,102,New Orleans Hornets,89
Brooklyn Nets,86,San Antonio Spurs,111
Phoenix Suns,69,Oklahoma City Thunder,97
Sacramento Kings,117,Houston Rockets,111
Charlotte Bobcats,94,Boston Celtics,91
Cleveland Cavaliers,92,Minnesota Timberwolves,100
Indiana Pacers,84,Brooklyn Nets,89
Philadelphia 76ers,90,Los Angeles Clippers,107
Detroit Pistons,86,New Orleans Hornets,105
Chicago Bulls,89,San Antonio Spurs,103
Milwaukee Bucks,90,Washington Wizards,102
Dallas Mavericks,101,Atlanta Hawks,105
Toronto Raptors,109,Denver Nuggets,108
Miami Heat,117,Portland Trail Blazers,104
Memphis Grizzlies,108,Sacramento Kings,101
Utah Jazz,109,Oklahoma City Thunder,94
Golden State Warriors,107,Houston Rockets,116
Los Angeles Lakers,91,Phoenix Suns,85
Cleveland Cavaliers,95,San Antonio Spurs,96
Indiana Pacers,101,Charlotte Bobcats,77
Orlando Magic,76,Atlanta Hawks,108
Boston Celtics,71,Chicago Bulls,69
Brooklyn Nets,119,Denver Nuggets,108
Detroit Pistons,96,Washington Wizards,85
New York Knicks,88,Toronto Raptors,92
Milwaukee Bucks,94,Philadelphia 76ers,92
Minnesota Timberwolves,93,Utah Jazz,97
New Orleans Hornets,99,Portland Trail Blazers,63
Dallas Mavericks,123,Sacramento Kings,100
Los Angeles Clippers,106,Houston Rockets,96
Oklahoma City Thunder,100,Miami Heat,110
Los Angeles Lakers,101,Los Angeles Clippers,125
Orlando Magic,92,Charlotte Bobcats,105
Washington Wizards,88,Toronto Raptors,96
Brooklyn Nets,113,Milwaukee Bucks,111
Detroit Pistons,91,Memphis Grizzlies,105
New Orleans Hornets,87,Chicago Bulls,96
Denver Nuggets,97,Boston Celtics,90
Utah Jazz,115,Golden State Warriors,101
Portland Trail Blazers,98,Phoenix Suns,102
Sacramento Kings,102,San Antonio Spurs,108
Charlotte Bobcats,99,Detroit Pistons,105
Indiana Pacers,125,New York Knicks,91
Toronto Raptors,82,Memphis Grizzlies,88
Atlanta Hawks,90,Miami Heat,103
Cleveland Cavaliers,105,New Orleans Hornets,100
Houston Rockets,122,Oklahoma City Thunder,119
Milwaukee Bucks,94,Brooklyn Nets,97
Minnesota Timberwolves,94,Philadelphia 76ers,87
Dallas Mavericks,111,Orlando Magic,96
Golden State Warriors,108,Phoenix Suns,98
Los Angeles Lakers,113,Boston Celtics,99
Chicago Bulls,67,Miami Heat,86
Los Angeles Clippers,90,San Antonio Spurs,116
Charlotte Bobcats,75,Chicago Bulls,105
Indiana Pacers,114,Detroit Pistons,82
Toronto Raptors,100,New York Knicks,98
Washington Wizards,119,Denver Nuggets,113
Atlanta Hawks,122,Sacramento Kings,108
Brooklyn Nets,96,Houston Rockets,106
Memphis Grizzlies,88,Orlando Magic,82
New Orleans Hornets,100,Dallas Mavericks,104
Oklahoma City Thunder,127,Minnesota Timberwolves,111
Phoenix Suns,88,Boston Celtics,113
Golden State Warriors,107,San Antonio Spurs,101
Los Angeles Lakers,111,Portland Trail Blazers,107
Charlotte Bobcats,99,Denver Nuggets,113
Orlando Magic,94,Cleveland Cavaliers,118
Washington Wizards,105,Houston Rockets,103
Detroit Pistons,72,Indiana Pacers,90
Philadelphia 76ers,90,Miami Heat,114
Milwaukee Bucks,102,Atlanta Hawks,103
Los Angeles Clippers,107,Utah Jazz,94
Dallas Mavericks,99,Los Angeles Lakers,103
Minnesota Timberwolves,99,Golden State Warriors,100
Miami Heat,109,Cleveland Cavaliers,105
New Orleans Hornets,110,Sacramento Kings,95
Brooklyn Nets,72,Memphis Grizzlies,76
New York Knicks,99,Philadelphia 76ers,93
Phoenix Suns,87,San Antonio Spurs,97
Portland Trail Blazers,92,Boston Celtics,86
Oklahoma City Thunder,102,Chicago Bulls,72
Toronto Raptors,84,Washington Wizards,90
Detroit Pistons,103,Atlanta Hawks,114
Denver Nuggets,119,Los Angeles Lakers,108
Utah Jazz,107,Boston Celtics,110
Indiana Pacers,108,Golden State Warriors,97
Philadelphia 76ers,84,Orlando Magic,98
Miami Heat,141,Sacramento Kings,129
Chicago Bulls,98,Cleveland Cavaliers,101
New Orleans Hornets,97,Brooklyn Nets,101
Dallas Mavericks,90,Milwaukee Bucks,95
Phoenix Suns,84,Minnesota Timberwolves,83
Los Angeles Clippers,106,Charlotte Bobcats,84
Cleveland Cavaliers,103,Toronto Raptors,92
Orlando Magic,101,Sacramento Kings,125
Washington Wizards,95,Detroit Pistons,96
Houston Rockets,107,Milwaukee Bucks,110
Memphis Grizzlies,90,Dallas Mavericks,84
New York Knicks,109,Golden State Warriors,105
Oklahoma City Thunder,119,New Orleans Hornets,74
San Antonio Spurs,101,Phoenix Suns,105
Utah Jazz,91,Atlanta Hawks,102
Portland Trail Blazers,109,Denver Nuggets,111
Indiana Pacers,91,Los Angeles Clippers,99
Chicago Bulls,93,Philadelphia 76ers,82
Los Angeles Lakers,116,Minnesota Timberwolves,94
Orlando Magic,110,Houston Rockets,118
Toronto Raptors,81,Indiana Pacers,93
Washington Wizards,88,New York Knicks,96
Boston Celtics,94,Golden State Warriors,86
Cleveland Cavaliers,89,Los Angeles Clippers,105
Brooklyn Nets,90,Dallas Mavericks,98
Miami Heat,98,Memphis Grizzlies,91
New Orleans Hornets,100,Detroit Pistons,95
San Antonio Spurs,130,Sacramento Kings,102
Phoenix Suns,92,Atlanta Hawks,87
Utah Jazz,98,Charlotte Bobcats,68
Denver Nuggets,105,Oklahoma City Thunder,103
Philadelphia 76ers,104,Golden State Warriors,97
Chicago Bulls,96,Brooklyn Nets,85
Milwaukee Bucks,122,Toronto Raptors,114
Portland Trail Blazers,109,Minnesota Timberwolves,94
New York Knicks,93,Miami Heat,99
Los Angeles Clippers,104,Oklahoma City Thunder,108
Orlando Magic,82,Memphis Grizzlies,108
Sacramento Kings,119,Charlotte Bobcats,83
Washington Wizards,90,Philadelphia 76ers,87
Houston Rockets,136,Dallas Mavericks,103
San Antonio Spurs,114,Detroit Pistons,75
Indiana Pacers,97,Chicago Bulls,92
Los Angeles Lakers,99,Atlanta Hawks,98
Cleveland Cavaliers,97,New York Knicks,102
Milwaukee Bucks,109,Utah Jazz,108
Minnesota Timberwolves,81,Miami Heat,97
New Orleans Hornets,102,Orlando Magic,105
Denver Nuggets,104,Atlanta Hawks,88
Portland Trail Blazers,122,Charlotte Bobcats,105
Golden State Warriors,125,Toronto Raptors,118
Philadelphia 76ers,101,Boston Celtics,109
Oklahoma City Thunder,122,Los Angeles Lakers,105
Sacramento Kings,113,Denver Nuggets,120
Charlotte Bobcats,78,Brooklyn Nets,99
Cleveland Cavaliers,104,Utah Jazz,101
Indiana Pacers,81,Boston Celtics,83
Atlanta Hawks,107,Philadelphia 76ers,96
Detroit Pistons,77,New York Knicks,87
Miami Heat,97,Orlando Magic,96
Memphis Grizzlies,91,Portland Trail Blazers,85
Minnesota Timberwolves,87,Washington Wizards,82
New Orleans Hornets,102,Los Angeles Lakers,108
Dallas Mavericks,112,Houston Rockets,108
Phoenix Suns,71,Toronto Raptors,98
San Antonio Spurs,101,Chicago Bulls,83
Golden State Warriors,87,Sacramento Kings,83
Los Angeles Clippers,117,Milwaukee Bucks,101
New York Knicks,94,Oklahoma City Thunder,95
Denver Nuggets,107,Los Angeles Clippers,92
Charlotte Bobcats,94,Oklahoma City Thunder,116
Orlando Magic,86,Indiana Pacers,115
Brooklyn Nets,95,Washington Wizards,78
Cleveland Cavaliers,92,Memphis Grizzlies,103
Detroit Pistons,99,Dallas Mavericks,102
Boston Celtics,107,Atlanta Hawks,102
Chicago Bulls,89,Utah Jazz,88
Miami Heat,102,Philadelphia 76ers,93
San Antonio Spurs,106,Portland Trail Blazers,136
Sacramento Kings,121,Phoenix Suns,112
Golden State Warriors,88,Houston Rockets,94
Los Angeles Lakers,118,Toronto Raptors,116
Atlanta Hawks,80,Brooklyn Nets,93
New York Knicks,113,Utah Jazz,84
Memphis Grizzlies,96,New Orleans Hornets,85
Washington Wizards,104,Charlotte Bobcats,87
Denver Nuggets,111,Minnesota Timberwolves,88
Phoenix Suns,107,Houston Rockets,105
Golden State Warriors,93,Milwaukee Bucks,103
Oklahoma City Thunder,91,Boston Celtics,79
Los Angeles Lakers,90,Chicago Bulls,81
Miami Heat,105,Indiana Pacers,91
Orlando Magic,99,Philadelphia 76ers,91
Toronto Raptors,100,Cleveland Cavaliers,96
Minnesota Timberwolves,77,Dallas Mavericks,100
New Orleans Hornets,98,Portland Trail Blazers,96
Sacramento Kings,113,Milwaukee Bucks,115
Los Angeles Clippers,129,Detroit Pistons,97
Philadelphia 76ers,106,Brooklyn Nets,97
San Antonio Spurs,105,Oklahoma City Thunder,93
Utah Jazz,103,Detroit Pistons,90
Phoenix Suns,93,Denver Nuggets,108
Golden State Warriors,92,New York Knicks,63
Charlotte Bobcats,100,Boston Celtics,74
Cleveland Cavaliers,95,Washington Wizards,90
Orlando Magic,97,Los Angeles Lakers,106
Brooklyn Nets,108,New Orleans Hornets,98
Miami Heat,98,Atlanta Hawks,81
Milwaukee Bucks,108,Dallas Mavericks,115
Minnesota Timberwolves,107,San Antonio Spurs,83
Portland Trail Blazers,97,Memphis Grizzlies,102
Indiana Pacers,107,Minnesota Timberwolves,91
Philadelphia 76ers,94,Miami Heat,98
Washington Wizards,106,Milwaukee Bucks,93
Atlanta Hawks,96,Los Angeles Lakers,92
Boston Celtics,112,Toronto Raptors,88
Houston Rockets,111,Phoenix Suns,81
Oklahoma City Thunder,110,Utah Jazz,87
Sacramento Kings,121,Chicago Bulls,79
Denver Nuggets,117,New York Knicks,94
Golden State Warriors,105,Detroit Pistons,97
Los Angeles Clippers,85,Memphis Grizzlies,96
San Antonio Spurs,92,Dallas Mavericks,91
Portland Trail Blazers,105,New York Knicks,90
Indiana Pacers,93,Los Angeles Lakers,99
Toronto Raptors,92,Charlotte Bobcats,78
Washington Wizards,96,New Orleans Hornets,87
Atlanta Hawks,107,Phoenix Suns,94
Houston Rockets,108,Minnesota Timberwolves,100
Oklahoma City Thunder,117,Orlando Magic,104
Dallas Mavericks,96,Cleveland Cavaliers,86
Milwaukee Bucks,94,Miami Heat,107
Denver Nuggets,87,Memphis Grizzlies,80
Golden State Warriors,95,Chicago Bulls,113
Washington Wizards,127,Phoenix Suns,105
Boston Celtics,105,Charlotte Bobcats,88
Philadelphia 76ers,98,Indiana Pacers,91
San Antonio Spurs,119,Cleveland Cavaliers,113
Portland Trail Blazers,112,Detroit Pistons,101
Utah Jazz,90,Memphis Grizzlies,84
Milwaukee Bucks,115,Orlando Magic,109
Toronto Raptors,91,Miami Heat,108
Los Angeles Clippers,93,New York Knicks,80
Houston Rockets,78,Golden State Warriors,108
Minnesota Timberwolves,97,New Orleans Hornets,95
Dallas Mavericks,101,Oklahoma City Thunder,107
Brooklyn Nets,93,Atlanta Hawks,105
Los Angeles Lakers,113,Sacramento Kings,102
Charlotte Bobcats,119,Washington Wizards,114
Cleveland Cavaliers,90,Indiana Pacers,111
Philadelphia 76ers,101,Portland Trail Blazers,100
Atlanta Hawks,113,Dallas Mavericks,127
Detroit Pistons,82,Brooklyn Nets,119
Boston Celtics,103,Miami Heat,105
Chicago Bulls,118,Denver Nuggets,119
Memphis Grizzlies,92,Minnesota Timberwolves,77
New Orleans Hornets,72,Golden State Warriors,93
Phoenix Suns,99,Los Angeles Lakers,76
Utah Jazz,83,New York Knicks,90
Indiana Pacers,95,Orlando Magic,73
Milwaukee Bucks,102,Portland Trail Blazers,95
Oklahoma City Thunder,104,Denver Nuggets,114
Sacramento Kings,116,Los Angeles Clippers,101
Charlotte Bobcats,107,Toronto Raptors,101
Cleveland Cavaliers,95,Miami Heat,98
Atlanta Hawks,98,Milwaukee Bucks,90
New York Knicks,106,Orlando Magic,94
Dallas Mavericks,96,Brooklyn Nets,113
Houston Rockets,100,Utah Jazz,93
Memphis Grizzlies,90,Oklahoma City Thunder,89
New Orleans Hornets,87,Boston Celtics,86
San Antonio Spurs,104,Golden State Warriors,93
Phoenix Suns,79,Washington Wizards,88
Los Angeles Clippers,101,Philadelphia 76ers,72
Chicago Bulls,89,Portland Trail Blazers,99
Denver Nuggets,101,Philadelphia 76ers,100
Sacramento Kings,101,Minnesota Timberwolves,98
Indiana Pacers,102,Milwaukee Bucks,78
Orlando Magic,89,Oklahoma City Thunder,97
Toronto Raptors,94,New York Knicks,99
Atlanta Hawks,93,Portland Trail Blazers,104
Miami Heat,103,Detroit Pistons,89
Houston Rockets,116,Cleveland Cavaliers,78
New Orleans Hornets,90,Memphis Grizzlies,83
Dallas Mavericks,104,Boston Celtics,94
San Antonio Spurs,104,Utah Jazz,97
Phoenix Suns,86,Minnesota Timberwolves,117
Los Angeles Lakers,100,Washington Wizards,103
Charlotte Bobcats,91,Detroit Pistons,92
New York Knicks,110,Toronto Raptors,84
Chicago Bulls,87,Indiana Pacers,84
Memphis Grizzlies,110,Boston Celtics,106
Denver Nuggets,101,Sacramento Kings,95
Golden State Warriors,101,Washington Wizards,92
Los Angeles Clippers,101,Brooklyn Nets,95
Milwaukee Bucks,99,Atlanta Hawks,104
Miami Heat,109,Charlotte Bobcats,77
Houston Rockets,96,San Antonio Spurs,95
Minnesota Timberwolves,97,Chicago Bulls,104
Oklahoma City Thunder,103,Portland Trail Blazers,83
Dallas Mavericks,113,Utah Jazz,108
Phoenix Suns,100,Brooklyn Nets,102
Sacramento Kings,103,Philadelphia 76ers,117
Indiana Pacers,100,Atlanta Hawks,94
Orlando Magic,94,Miami Heat,108
Washington Wizards,107,Memphis Grizzlies,94
New Orleans Hornets,110,Denver Nuggets,86
Utah Jazz,107,Philadelphia 76ers,91
Golden State Warriors,109,Los Angeles Lakers,103
Boston Celtics,85,New York Knicks,100
Detroit Pistons,82,Minnesota Timberwolves,105
Dallas Mavericks,109,Los Angeles Clippers,102
Charlotte Bobcats,114,Orlando Magic,108
Cleveland Cavaliers,92,Boston Celtics,93
Philadelphia 76ers,100,Milwaukee Bucks,92
Toronto Raptors,88,Atlanta Hawks,107
New York Knicks,108,Memphis Grizzlies,101
Chicago Bulls,101,Miami Heat,97
Houston Rockets,91,Indiana Pacers,100
Minnesota Timberwolves,117,Los Angeles Lakers,120
New Orleans Hornets,91,Los Angeles Clippers,105
Oklahoma City Thunder,103,Washington Wizards,80
San Antonio Spurs,100,Denver Nuggets,99
Utah Jazz,103,Phoenix Suns,88
Golden State Warriors,98,Sacramento Kings,105
Portland Trail Blazers,93,Brooklyn Nets,111
Milwaukee Bucks,113,Los Angeles Lakers,103
Dallas Mavericks,78,Indiana Pacers,103
Phoenix Suns,103,Sacramento Kings,117
Orlando Magic,97,Washington Wizards,92
Boston Celtics,118,Atlanta Hawks,107
Cleveland Cavaliers,87,Philadelphia 76ers,97
Detroit Pistons,82,Toronto Raptors,99
New York Knicks,111,Charlotte Bobcats,102
Memphis Grizzlies,103,Houston Rockets,94
Minnesota Timberwolves,101,Oklahoma City Thunder,93
New Orleans Hornets,89,Miami Heat,108
San Antonio Spurs,104,Los Angeles Clippers,102
Denver Nuggets,109,Brooklyn Nets,87
Portland Trail Blazers,95,Utah Jazz,105
Dallas Mavericks,100,Chicago Bulls,98
Atlanta Hawks,97,Orlando Magic,88
Houston Rockets,98,Los Angeles Clippers,81
Minnesota Timberwolves,86,Memphis Grizzlies,99
Philadelphia 76ers,100,Charlotte Bobcats,92
Milwaukee Bucks,99,Oklahoma City Thunder,109
Utah Jazz,116,Brooklyn Nets,107
Phoenix Suns,104,Indiana Pacers,112
Sacramento Kings,98,Los Angeles Lakers,103
Golden State Warriors,125,Portland Trail Blazers,98
New Orleans Hornets,112,Cleveland Cavaliers,92
Washington Wizards,109,Toronto Raptors,92
Chicago Bulls,95,Detroit Pistons,94
San Antonio Spurs,86,Miami Heat,88
New York Knicks,108,Boston Celtics,89
Toronto Raptors,98,Detroit Pistons,108
Atlanta Hawks,102,Cleveland Cavaliers,94
Houston Rockets,111,Orlando Magic,103
Memphis Grizzlies,92,San Antonio Spurs,90
Milwaukee Bucks,131,Charlotte Bobcats,102
Minnesota Timberwolves,110,Boston Celtics,100
Utah Jazz,112,Portland Trail Blazers,102
Los Angeles Clippers,106,Indiana Pacers,109
Washington Wizards,90,Chicago Bulls,86
Miami Heat,90,New York Knicks,102
Los Angeles Lakers,101,Dallas Mavericks,81
Atlanta Hawks,82,New York Knicks,95
Charlotte Bobcats,88,Philadelphia 76ers,83
Cleveland Cavaliers,95,Brooklyn Nets,113
Toronto Raptors,88,Washington Wizards,78
Boston Celtics,98,Detroit Pistons,93
Milwaukee Bucks,98,Minnesota Timberwolves,107
San Antonio Spurs,98,Orlando Magic,84
Utah Jazz,96,Denver Nuggets,113
Portland Trail Blazers,76,Memphis Grizzlies,94
Sacramento Kings,102,Houston Rockets,112
Golden State Warriors,98,New Orleans Hornets,88
Los Angeles Clippers,126,Phoenix Suns,101
Brooklyn Nets,90,Chicago Bulls,92
Denver Nuggets,95,Dallas Mavericks,94
Oklahoma City Thunder,100,San Antonio Spurs,88
Atlanta Hawks,90,Philadelphia 76ers,101
Boston Celtics,91,Cleveland Cavaliers,97
New York Knicks,101,Milwaukee Bucks,83
Charlotte Bobcats,79,Miami Heat,89
Chicago Bulls,87,Orlando Magic,86
Indiana Pacers,75,Oklahoma City Thunder,97
Minnesota Timberwolves,93,Toronto Raptors,95
Utah Jazz,95,New Orleans Hornets,83
Phoenix Suns,107,Golden State Warriors,111
Sacramento Kings,108,Dallas Mavericks,117
Los Angeles Lakers,86,Memphis Grizzlies,84
Portland Trail Blazers,98,Houston Rockets,116
Washington Wizards,104,Indiana Pacers,85
Brooklyn Nets,105,Charlotte Bobcats,96
Miami Heat,106,Philadelphia 76ers,87
Minnesota Timberwolves,107,Detroit Pistons,101
Milwaukee Bucks,100,Toronto Raptors,83
San Antonio Spurs,99,Atlanta Hawks,97
Denver Nuggets,132,Houston Rockets,114
Oklahoma City Thunder,120,New York Knicks,125
Los Angeles Clippers,109,Los Angeles Lakers,95
Boston Celtics,107,Washington Wizards,96
Cleveland Cavaliers,91,Orlando Magic,85
Sacramento Kings,87,Memphis Grizzlies,89
Detroit Pistons,99,Chicago Bulls,85
Golden State Warriors,90,Utah Jazz,97
Phoenix Suns,92,New Orleans Hornets,95
Portland Trail Blazers,91,Dallas Mavericks,96
Indiana Pacers,99,Cleveland Cavaliers,94
Brooklyn Nets,104,Philadelphia 76ers,83
Miami Heat,94,Milwaukee Bucks,83
New York Knicks,120,Washington Wizards,99
Chicago Bulls,98,Toronto Raptors,101
Houston Rockets,101,Phoenix Suns,98
Memphis Grizzlies,94,Charlotte Bobcats,75
Utah Jazz,80,Oklahoma City Thunder,90
Golden State Warriors,105,Minnesota Timberwolves,89
Los Angeles Lakers,104,New Orleans Hornets,96
Cleveland Cavaliers,104,Detroit Pistons,111
Orlando Magic,113,Milwaukee Bucks,103
Philadelphia 76ers,101,Atlanta Hawks,124
Washington Wizards,98,Miami Heat,103
Boston Celtics,93,Brooklyn Nets,101
Dallas Mavericks,91,Phoenix Suns,102
Portland Trail Blazers,106,Los Angeles Lakers,113
Sacramento Kings,121,New Orleans Hornets,110
Denver Nuggets,96,San Antonio Spurs,86
Los Angeles Clippers,111,Minnesota Timberwolves,95
Chicago Bulls,118,New York Knicks,111
Golden State Warriors,97,Oklahoma City Thunder,116
Indiana Pacers,109,Brooklyn Nets,117
Toronto Raptors,97,Chicago Bulls,88
Washington Wizards,86,Philadelphia 76ers,97
Atlanta Hawks,109,Milwaukee Bucks,104
Cleveland Cavaliers,91,New York Knicks,101
Detroit Pistons,113,Charlotte Bobcats,93
Miami Heat,109,Boston Celtics,101
Houston Rockets,78,Memphis Grizzlies,82
New Orleans Hornets,93,Los Angeles Clippers,96
Dallas Mavericks,108,Denver Nuggets,105
San Antonio Spurs,108,Sacramento Kings,101
Utah Jazz,107,Minnesota Timberwolves,100
Portland Trail Blazers,90,Oklahoma City Thunder,106
Los Angeles Lakers,118,Golden State Warriors,116
Charlotte Bobcats,95,Milwaukee Bucks,85
Orlando Magic,88,Boston Celtics,120
Memphis Grizzlies,87,Los Angeles Clippers,91
Minnesota Timberwolves,105,Phoenix Suns,93
Miami Heat,105,Chicago Bulls,93
New York Knicks,90,Indiana Pacers,80
Philadelphia 76ers,91,Cleveland Cavaliers,77
Toronto Raptors,93,Brooklyn Nets,87
Denver Nuggets,118,Portland Trail Blazers,109
