Home,Home Points,Visitor,Visitor Points
Phoenix Suns,88,Miami Heat,97
New York Knicks,88,Indiana Pacers,76
Toronto Raptors,97,Orlando Magic,86
Philadelphia 76ers,86,Cleveland Cavaliers,79
Sacramento Kings,90,Brooklyn Nets,99
Oklahoma City Thunder,119,Golden State Warriors,109
Detroit Pistons,103,Boston Celtics,83
Portland Trail Blazers,102,Chicago Bulls,94
Los Angeles Lakers,119,Houston Rockets,108
Charlotte Bobcats,102,Milwaukee Bucks,98
Washington Wizards,89,Indiana Pacers,96
Atlanta Hawks,81,Orlando Magic,72
Memphis Grizzlies,92,Denver Nuggets,97
Dallas Mavericks,101,Golden State Warriors,105
San Antonio Spurs,87,Los Angeles Clippers,92
Utah Jazz,102,Houston Rockets,91
Philadelphia 76ers,106,Toronto Raptors,98
New Orleans Hornets,80,New York Knicks,102
Los Angeles Lakers,95,Brooklyn Nets,90
Charlotte Bobcats,98,Toronto Raptors,97
Cleveland Cavaliers,92,Philadelphia 76ers,83
Indiana Pacers,115,New Orleans Hornets,107
Orlando Magic,90,Detroit Pistons,74
Atlanta Hawks,101,Washington Wizards,100
Boston Celtics,100,San Antonio Spurs,112
Miami Heat,113,Milwaukee Bucks,106
Oklahoma City Thunder,117,Los Angeles Clippers,111
Houston Rockets,93,Chicago Bulls,89
Minnesota Timberwolves,94,Denver Nuggets,101
Dallas Mavericks,114,New York Knicks,111
Phoenix Suns,114,Portland Trail Blazers,87
Sacramento Kings,113,Los Angeles Lakers,97
Golden State Warriors,102,Brooklyn Nets,93
Charlotte Bobcats,91,Atlanta Hawks,101
Orlando Magic,108,Cleveland Cavaliers,104
Boston Celtics,108,Oklahoma City Thunder,100
Brooklyn Nets,86,Los Angeles Clippers,76
Detroit Pistons,91,Toronto Raptors,90
Houston Rockets,131,New York Knicks,103
Indiana Pacers,97,San Antonio Spurs,104
Memphis Grizzlies,106,Los Angeles Lakers,98
Denver Nuggets,102,Golden State Warriors,91
Phoenix Suns,111,New Orleans Hornets,108
Utah Jazz,104,Sacramento Kings,102
Portland Trail Blazers,103,Minnesota Timberwolves,95
Atlanta Hawks,104,Los Angeles Clippers,93
Philadelphia 76ers,109,Oklahoma City Thunder,116
Washington Wizards,106,Charlotte Bobcats,108
Miami Heat,110,Cleveland Cavaliers,108
Dallas Mavericks,89,Los Angeles Lakers,115
Milwaukee Bucks,86,Chicago Bulls,93
Sacramento Kings,108,Utah Jazz,97
Golden State Warriors,96,Minnesota Timberwolves,85
New York Knicks,121,Detroit Pistons,100
Toronto Raptors,106,San Antonio Spurs,111
Brooklyn Nets,98,Portland Trail Blazers,85
Orlando Magic,110,Boston Celtics,116
Philadelphia 76ers,104,Phoenix Suns,101
Denver Nuggets,102,New Orleans Hornets,84
Brooklyn Nets,96,New York Knicks,89
Washington Wizards,92,San Antonio Spurs,118
Detroit Pistons,108,Portland Trail Blazers,101
Chicago Bulls,92,Milwaukee Bucks,93
Memphis Grizzlies,84,Cleveland Cavaliers,78
Oklahoma City Thunder,114,Charlotte Bobcats,69
Utah Jazz,105,Denver Nuggets,103
Los Angeles Clippers,98,New Orleans Hornets,105
Cleveland Cavaliers,78,Phoenix Suns,91
Philadelphia 76ers,100,Dallas Mavericks,98
Houston Rockets,117,Toronto Raptors,101
Sacramento Kings,89,Minnesota Timberwolves,97
Los Angeles Lakers,77,Indiana Pacers,79
Orlando Magic,89,San Antonio Spurs,110
Washington Wizards,84,Portland Trail Blazers,82
Atlanta Hawks,94,Charlotte Bobcats,91
Boston Celtics,83,Brooklyn Nets,95
Detroit Pistons,117,Phoenix Suns,77
Chicago Bulls,101,Dallas Mavericks,78
Memphis Grizzlies,103,Toronto Raptors,82
Milwaukee Bucks,88,New York Knicks,102
New Orleans Hornets,84,Utah Jazz,96
Oklahoma City Thunder,120,Houston Rockets,98
Los Angeles Clippers,101,Minnesota Timberwolves,95
Miami Heat,105,San Antonio Spurs,100
Golden State Warriors,106,Denver Nuggets,105
Charlotte Bobcats,98,Philadelphia 76ers,104
Orlando Magic,86,Brooklyn Nets,98
Toronto Raptors,101,Phoenix Suns,97
Atlanta Hawks,111,Cleveland Cavaliers,113
Boston Celtics,96,Portland Trail Blazers,78
New York Knicks,108,Washington Wizards,87
Memphis Grizzlies,90,Detroit Pistons,78
Minnesota Timberwolves,95,Milwaukee Bucks,85
Oklahoma City Thunder,106,Utah Jazz,94
Sacramento Kings,92,Indiana Pacers,97
Los Angeles Lakers,122,Denver Nuggets,103
Cleveland Cavaliers,117,Portland Trail Blazers,118
Miami Heat,102,Brooklyn Nets,89
Chicago Bulls,93,Philadelphia 76ers,88
Houston Rockets,124,Utah Jazz,116
