Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 29, 2013",7:00p,Indiana Pacers,97,Orlando Magic,87,Indiana Pacers,"18,165"
"Tue, Oct 29, 2013",8:00p,Miami Heat,107,Chicago Bulls,95,Miami Heat,"19,964"
"Tue, Oct 29, 2013",10:30p,Los Angeles Lakers,116,Los Angeles Clippers,103,Los Angeles Lakers,"18,997"
"Wed, Oct 30, 2013",7:00p,Cleveland Cavaliers,98,Brooklyn Nets,94,Cleveland Cavaliers,"20,562"
"Wed, Oct 30, 2013",7:00p,Toronto Raptors,93,Boston Celtics,87,Toronto Raptors,"20,155"
"Wed, Oct 30, 2013",7:00p,Philadelphia 76ers,114,Miami Heat,110,Philadelphia 76ers,"19,523"
"Wed, Oct 30, 2013",7:30p,Detroit Pistons,113,Washington Wizards,102,Detroit Pistons,"19,258"
"Wed, Oct 30, 2013",7:30p,New York Knicks,90,Milwaukee Bucks,83,New York Knicks,"19,812"
"Wed, Oct 30, 2013",8:00p,New Orleans Pelicans,90,Indiana Pacers,95,Indiana Pacers,"17,803"
"Wed, Oct 30, 2013",8:00p,Minnesota Timberwolves,120,Orlando Magic,115,Minnesota Timberwolves,"17,988"
"Wed, Oct 30, 2013",8:00p,Houston Rockets,96,Charlotte Bobcats,83,Houston Rockets,"18,083"
"Wed, Oct 30, 2013",8:30p,San Antonio Spurs,101,Memphis Grizzlies,94,San Antonio Spurs,"18,581"
"Wed, Oct 30, 2013",8:30p,Dallas Mavericks,118,Atlanta Hawks,109,Dallas Mavericks,"19,834"
"Wed, Oct 30, 2013",9:00p,Utah Jazz,98,Oklahoma City Thunder,101,Oklahoma City Thunder,"19,911"
"Wed, Oct 30, 2013",10:00p,Phoenix Suns,104,Portland Trail Blazers,91,Phoenix Suns,"17,208"
"Wed, Oct 30, 2013",10:00p,Sacramento Kings,90,Denver Nuggets,88,Sacramento Kings,"17,317"
"Wed, Oct 30, 2013",10:30p,Golden State Warriors,125,Los Angeles Lakers,94,Golden State Warriors,"19,596"
"Thu, Oct 31, 2013",8:00p,Chicago Bulls,82,New York Knicks,81,Chicago Bulls,"22,022"
"Thu, Oct 31, 2013",10:30p,Los Angeles Clippers,126,Golden State Warriors,115,Los Angeles Clippers,"19,060"
"Fri, Nov 1, 2013",7:00p,Charlotte Bobcats,90,Cleveland Cavaliers,84,Charlotte Bobcats,"18,017"
"Fri, Nov 1, 2013",7:00p,Orlando Magic,110,New Orleans Pelicans,90,Orlando Magic,"18,846"
