Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 30, 2012",7:00p,Cleveland Cavaliers,94,Washington Wizards,84,Cleveland Cavaliers,"20,562"
"Tue, Oct 30, 2012",8:00p,Miami Heat,120,Boston Celtics,107,Miami Heat,"20,296"
"Tue, Oct 30, 2012",10:30p,Los Angeles Lakers,91,Dallas Mavericks,99,Dallas Mavericks,"18,997"
"Wed, Oct 31, 2012",7:00p,Philadelphia 76ers,84,Denver Nuggets,75,Philadelphia 76ers,"19,101"
"Wed, Oct 31, 2012",7:00p,Toronto Raptors,88,Indiana Pacers,90,Indiana Pacers,"19,800"
"Wed, Oct 31, 2012",7:30p,Detroit Pistons,96,Houston Rockets,105,Houston Rockets,"16,646"
"Wed, Oct 31, 2012",8:00p,Chicago Bulls,93,Sacramento Kings,87,Chicago Bulls,"21,313"
"Wed, Oct 31, 2012",8:00p,New Orleans Hornets,95,San Antonio Spurs,99,San Antonio Spurs,"15,358"
"Wed, Oct 31, 2012",9:00p,Utah Jazz,113,Dallas Mavericks,94,Utah Jazz,"17,634"
"Wed, Oct 31, 2012",10:00p,Phoenix Suns,85,Golden State Warriors,87,Golden State Warriors,"15,678"
"Wed, Oct 31, 2012",10:30p,Los Angeles Clippers,101,Memphis Grizzlies,92,Los Angeles Clippers,"19,060"
"Wed, Oct 31, 2012",10:30p,Portland Trail Blazers,116,Los Angeles Lakers,106,Portland Trail Blazers,"20,401"
"Thu, Nov 1, 2012",9:30p,San Antonio Spurs,86,Oklahoma City Thunder,84,San Antonio Spurs,"18,581"
"Fri, Nov 2, 2012",7:00p,Charlotte Bobcats,90,Indiana Pacers,89,Charlotte Bobcats,"19,124"
"Fri, Nov 2, 2012",7:00p,Orlando Magic,102,Denver Nuggets,89,Orlando Magic,"18,846"
"Fri, Nov 2, 2012",7:30p,Atlanta Hawks,102,Houston Rockets,109,Houston Rockets,"18,238"
"Fri, Nov 2, 2012",7:30p,Boston Celtics,88,Milwaukee Bucks,99,Milwaukee Bucks,"18,624"
"Fri, Nov 2, 2012",7:30p,Cleveland Cavaliers,86,Chicago Bulls,115,Chicago Bulls,"20,562"
"Fri, Nov 2, 2012",8:00p,Minnesota Timberwolves,92,Sacramento Kings,80,Minnesota Timberwolves,"19,356"
"Fri, Nov 2, 2012",8:00p,New Orleans Hornets,88,Utah Jazz,86,New Orleans Hornets,"14,147"
"Fri, Nov 2, 2012",8:00p,New York Knicks,104,Miami Heat,84,New York Knicks,"19,033"
"Fri, Nov 2, 2012",8:00p,Oklahoma City Thunder,106,Portland Trail Blazers,92,Oklahoma City Thunder,"18,203"
"Fri, Nov 2, 2012",10:00p,Phoenix Suns,92,Detroit Pistons,89,Phoenix Suns,"15,107"
"Fri, Nov 2, 2012",10:30p,Golden State Warriors,94,Memphis Grizzlies,104,Memphis Grizzlies,"19,596"
"Fri, Nov 2, 2012",10:30p,Los Angeles Lakers,95,Los Angeles Clippers,105,Los Angeles Clippers,"18,997"
"Sat, Nov 3, 2012",7:00p,Indiana Pacers,106,Sacramento Kings,98,Indiana Pacers,"18,165"
"Sat, Nov 3, 2012",7:00p,Washington Wizards,86,Boston Celtics,89,Boston Celtics,"20,308"
"Sat, Nov 3, 2012",7:30p,Brooklyn Nets,107,Toronto Raptors,100,Brooklyn Nets,"17,732"
"Sat, Nov 3, 2012",7:30p,Miami Heat,119,Denver Nuggets,116,Miami Heat,"20,104"
"Sat, Nov 3, 2012",8:00p,Chicago Bulls,82,New Orleans Hornets,89,New Orleans Hornets,"21,758"
"Sat, Nov 3, 2012",8:00p,Houston Rockets,85,Portland Trail Blazers,95,Portland Trail Blazers,"18,140"
"Sat, Nov 3, 2012",8:30p,Dallas Mavericks,126,Charlotte Bobcats,99,Dallas Mavericks,"19,490"
"Sat, Nov 3, 2012",8:30p,Milwaukee Bucks,105,Cleveland Cavaliers,102,Milwaukee Bucks,"17,086"
"Sat, Nov 3, 2012",8:30p,San Antonio Spurs,110,Utah Jazz,100,San Antonio Spurs,"18,581"
"Sat, Nov 3, 2012",10:30p,Los Angeles Clippers,110,Golden State Warriors,114,Golden State Warriors,"19,060"
"Sun, Nov 4, 2012",12:00p,New York Knicks,100,Philadelphia 76ers,84,New York Knicks,"19,033"
"Sun, Nov 4, 2012",6:00p,Orlando Magic,115,Phoenix Suns,94,Orlando Magic,"17,022"
"Sun, Nov 4, 2012",6:00p,Toronto Raptors,105,Minnesota Timberwolves,86,Toronto Raptors,"16,754"
"Sun, Nov 4, 2012",7:00p,Oklahoma City Thunder,95,Atlanta Hawks,104,Atlanta Hawks,"18,203"
"Sun, Nov 4, 2012",9:30p,Los Angeles Lakers,108,Detroit Pistons,79,Los Angeles Lakers,"18,997"
"Mon, Nov 5, 2012",7:00p,Philadelphia 76ers,88,New York Knicks,110,New York Knicks,"15,783"
"Mon, Nov 5, 2012",7:30p,Brooklyn Nets,96,Minnesota Timberwolves,107,Minnesota Timberwolves,"14,017"
"Mon, Nov 5, 2012",7:30p,Miami Heat,124,Phoenix Suns,99,Miami Heat,"19,600"
"Mon, Nov 5, 2012",8:00p,Memphis Grizzlies,103,Utah Jazz,94,Memphis Grizzlies,"17,401"
"Mon, Nov 5, 2012",8:30p,Dallas Mavericks,114,Portland Trail Blazers,91,Dallas Mavericks,"19,521"
"Mon, Nov 5, 2012",8:30p,San Antonio Spurs,101,Indiana Pacers,79,San Antonio Spurs,"17,158"
"Mon, Nov 5, 2012",10:00p,Sacramento Kings,94,Golden State Warriors,92,Sacramento Kings,"17,317"
"Mon, Nov 5, 2012",10:30p,Los Angeles Clippers,101,Cleveland Cavaliers,108,Cleveland Cavaliers,"19,060"
"Tue, Nov 6, 2012",8:00p,Chicago Bulls,99,Orlando Magic,93,Chicago Bulls,"21,216"
"Tue, Nov 6, 2012",8:00p,Oklahoma City Thunder,108,Toronto Raptors,88,Oklahoma City Thunder,"18,203"
"Tue, Nov 6, 2012",9:00p,Denver Nuggets,109,Detroit Pistons,97,Denver Nuggets,"19,155"
"Wed, Nov 7, 2012",7:00p,Charlotte Bobcats,110,Phoenix Suns,117,Phoenix Suns,"13,905"
"Wed, Nov 7, 2012",7:30p,Atlanta Hawks,89,Indiana Pacers,86,Atlanta Hawks,"10,684"
"Wed, Nov 7, 2012",7:30p,Boston Celtics,100,Washington Wizards,94,Boston Celtics,"18,624"
"Wed, Nov 7, 2012",7:30p,Miami Heat,103,Brooklyn Nets,73,Miami Heat,"19,627"
"Wed, Nov 7, 2012",8:00p,Houston Rockets,87,Denver Nuggets,93,Denver Nuggets,"13,372"
"Wed, Nov 7, 2012",8:00p,Milwaukee Bucks,90,Memphis Grizzlies,108,Memphis Grizzlies,"11,465"
"Wed, Nov 7, 2012",8:00p,Minnesota Timberwolves,90,Orlando Magic,75,Minnesota Timberwolves,"17,121"
"Wed, Nov 7, 2012",8:00p,New Orleans Hornets,62,Philadelphia 76ers,77,Philadelphia 76ers,"12,988"
"Wed, Nov 7, 2012",8:30p,Dallas Mavericks,109,Toronto Raptors,104,Dallas Mavericks,"19,763"
"Wed, Nov 7, 2012",9:00p,Utah Jazz,95,Los Angeles Lakers,86,Utah Jazz,"19,911"
"Wed, Nov 7, 2012",10:00p,Sacramento Kings,105,Detroit Pistons,103,Sacramento Kings,"10,185"
"Wed, Nov 7, 2012",10:30p,Golden State Warriors,106,Cleveland Cavaliers,96,Golden State Warriors,"18,124"
"Wed, Nov 7, 2012",10:30p,Los Angeles Clippers,106,San Antonio Spurs,84,Los Angeles Clippers,"19,060"
"Thu, Nov 8, 2012",8:00p,Chicago Bulls,91,Oklahoma City Thunder,97,Oklahoma City Thunder,"21,737"
