Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 18, 2022",7:30p,Boston Celtics,126,Philadelphia 76ers,117,Boston Celtics,"19,156"
"Tue, Oct 18, 2022",10:00p,Golden State Warriors,123,Los Angeles Lakers,109,Golden State Warriors,"18,064"
"Wed, Oct 19, 2022",7:00p,Detroit Pistons,113,Orlando Magic,109,Detroit Pistons,"20,190"
"Wed, Oct 19, 2022",7:00p,Indiana Pacers,107,Washington Wizards,114,Washington Wizards,"15,027"
"Wed, Oct 19, 2022",7:30p,Atlanta Hawks,117,Houston Rockets,107,Atlanta Hawks,"17,878"
"Wed, Oct 19, 2022",7:30p,Brooklyn Nets,108,New Orleans Pelicans,130,New Orleans Pelicans,"18,003"
"Wed, Oct 19, 2022",7:30p,Memphis Grizzlies,115,New York Knicks,112,Memphis Grizzlies,"18,202"
"Wed, Oct 19, 2022",7:30p,Miami Heat,108,Chicago Bulls,116,Chicago Bulls,"19,600"
"Wed, Oct 19, 2022",7:30p,Toronto Raptors,108,Cleveland Cavaliers,105,Toronto Raptors,"19,800"
"Wed, Oct 19, 2022",8:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,108,Minnesota Timberwolves,"17,136"
"Wed, Oct 19, 2022",8:00p,San Antonio Spurs,102,Charlotte Hornets,129,Charlotte Hornets,"16,236"
"Wed, Oct 19, 2022",9:00p,Utah Jazz,123,Denver Nuggets,102,Utah Jazz,"18,206"
"Wed, Oct 19, 2022",10:00p,Phoenix Suns,107,Dallas Mavericks,105,Phoenix Suns,"17,071"
"Wed, Oct 19, 2022",10:00p,Sacramento Kings,108,Portland Trail Blazers,115,Portland Trail Blazers,"17,611"
"Thu, Oct 20, 2022",7:30p,Philadelphia 76ers,88,Milwaukee Bucks,90,Milwaukee Bucks,"20,060"
"Thu, Oct 20, 2022",10:00p,Los Angeles Lakers,97,Los Angeles Clippers,103,Los Angeles Clippers,"18,997"
"Fri, Oct 21, 2022",7:00p,Charlotte Hornets,112,New Orleans Pelicans,124,New Orleans Pelicans,"19,287"
"Fri, Oct 21, 2022",7:00p,Indiana Pacers,134,San Antonio Spurs,137,San Antonio Spurs,"12,073"
"Fri, Oct 21, 2022",7:00p,Washington Wizards,102,Chicago Bulls,100,Washington Wizards,"20,476"
"Fri, Oct 21, 2022",7:30p,Atlanta Hawks,108,Orlando Magic,98,Atlanta Hawks,"17,822"
"Fri, Oct 21, 2022",7:30p,Brooklyn Nets,109,Toronto Raptors,105,Brooklyn Nets,"17,732"
"Fri, Oct 21, 2022",7:30p,Miami Heat,104,Boston Celtics,111,Boston Celtics,"19,600"
"Fri, Oct 21, 2022",7:30p,New York Knicks,130,Detroit Pistons,106,New York Knicks,"19,812"
"Fri, Oct 21, 2022",8:00p,Houston Rockets,122,Memphis Grizzlies,129,Memphis Grizzlies,"18,055"
"Fri, Oct 21, 2022",8:00p,Minnesota Timberwolves,126,Utah Jazz,132,Utah Jazz,"17,136"
"Fri, Oct 21, 2022",10:00p,Golden State Warriors,123,Denver Nuggets,128,Denver Nuggets,"18,064"
"Fri, Oct 21, 2022",10:00p,Portland Trail Blazers,113,Phoenix Suns,111,Portland Trail Blazers,"19,393"
"Sat, Oct 22, 2022",6:00p,Philadelphia 76ers,105,San Antonio Spurs,114,San Antonio Spurs,"19,822"
"Sat, Oct 22, 2022",7:00p,Indiana Pacers,124,Detroit Pistons,115,Indiana Pacers,"16,056"
"Sat, Oct 22, 2022",7:00p,Orlando Magic,120,Boston Celtics,126,Boston Celtics,"19,299"
"Sat, Oct 22, 2022",8:00p,Chicago Bulls,96,Cleveland Cavaliers,128,Cleveland Cavaliers,"21,089"
"Sat, Oct 22, 2022",8:00p,Miami Heat,112,Toronto Raptors,109,Miami Heat,"19,600"
"Sat, Oct 22, 2022",8:00p,Milwaukee Bucks,125,Houston Rockets,105,Milwaukee Bucks,"17,341"
"Sat, Oct 22, 2022",8:30p,Dallas Mavericks,137,Memphis Grizzlies,96,Dallas Mavericks,"20,377"
"Sat, Oct 22, 2022",9:00p,Denver Nuggets,122,Oklahoma City Thunder,117,Denver Nuggets,"19,983"
"Sat, Oct 22, 2022",10:00p,Sacramento Kings,109,Los Angeles Clippers,111,Los Angeles Clippers,"16,296"
"Sun, Oct 23, 2022",3:30p,Los Angeles Lakers,104,Portland Trail Blazers,106,Portland Trail Blazers,"18,997"
"Sun, Oct 23, 2022",5:00p,Atlanta Hawks,109,Charlotte Hornets,126,Charlotte Hornets,"17,383"
"Sun, Oct 23, 2022",7:00p,Cleveland Cavaliers,117,Washington Wizards,107,Cleveland Cavaliers,"19,432"
"Sun, Oct 23, 2022",7:00p,New Orleans Pelicans,121,Utah Jazz,122,Utah Jazz,"18,665"
"Sun, Oct 23, 2022",8:00p,Oklahoma City Thunder,106,Minnesota Timberwolves,116,Minnesota Timberwolves,"15,044"
"Sun, Oct 23, 2022",8:30p,Golden State Warriors,130,Sacramento Kings,125,Golden State Warriors,"18,064"
"Sun, Oct 23, 2022",10:00p,Los Angeles Clippers,95,Phoenix Suns,112,Phoenix Suns,"19,068"
"Mon, Oct 24, 2022",7:00p,Philadelphia 76ers,120,Indiana Pacers,106,Philadelphia 76ers,"19,786"
"Mon, Oct 24, 2022",7:30p,Miami Heat,90,Toronto Raptors,98,Toronto Raptors,"19,600"
"Mon, Oct 24, 2022",7:30p,New York Knicks,115,Orlando Magic,102,New York Knicks,"18,800"
"Mon, Oct 24, 2022",8:00p,Chicago Bulls,120,Boston Celtics,102,Chicago Bulls,"17,673"
"Mon, Oct 24, 2022",8:00p,Houston Rockets,114,Utah Jazz,108,Houston Rockets,"16,260"
"Mon, Oct 24, 2022",8:00p,Memphis Grizzlies,134,Brooklyn Nets,124,Memphis Grizzlies,"17,392"
