name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
James Harden,HOU,PG,68,2335,446,512,60,125,44.4,86.5,35.5,692,373,299,308,2482,22,4,3700.2
Giannis Antetokounmpo,MIL,PF,63,1857,856,354,66,61,55.3,63.3,30.4,398,596,89,230,1916,56,4,3439.2
LeBron James,LAL,SF,67,1698,525,684,36,78,49.3,69.3,34.8,264,495,148,261,2316,46,13,3321.0
Luka Doncic,DAL,PG,61,1759,573,538,14,62,46.3,75.8,31.6,426,410,171,260,2047,39,17,3145.6
Nikola Jokic,DEN,C,73,1456,711,512,44,85,52.8,81.7,31.4,246,485,80,226,2335,43,13,3109.2
Damian Lillard,POR,PG,66,1978,284,530,22,70,46.3,88.8,40.1,460,354,270,194,2473,19,1,3103.8
Anthony Davis,LAL,PF,62,1618,577,200,143,91,50.3,84.6,33.0,444,479,72,154,2131,29,0,2924.4
Trae Young,ATL,PG,60,1778,254,560,8,65,43.7,86.0,36.1,481,341,205,289,2120,28,2,2779.8
Devin Booker,PHO,SG,70,1863,297,456,18,49,48.9,91.9,35.4,468,486,141,264,2511,11,0,2773.4
Bam Adebayo,MIA,C,72,1146,735,368,93,82,55.7,69.1,14.3,264,438,2,204,2417,40,3,2726.0
Russell Westbrook,HOU,PG,57,1553,451,401,20,93,47.2,76.3,25.8,290,549,55,255,2049,22,8,2666.7
Kawhi Leonard,LAC,SF,57,1543,402,280,33,103,47.0,88.6,37.8,356,409,123,149,1848,13,1,2568.4
Hassan Whiteside,POR,C,67,1040,905,78,196,26,62.1,68.6,57.1,164,432,4,120,2008,51,0,2567.0
Bradley Beal,WAS,SG,57,1741,242,347,23,71,45.5,84.2,35.3,385,423,170,194,2053,8,0,2545.9
Jayson Tatum,BOS,SF,66,1547,460,200,57,93,45.0,81.2,40.3,254,363,189,155,2265,10,0,2544.0
DeMar DeRozan,SA,SG,68,1504,375,379,20,70,53.1,84.5,25.7,381,548,9,164,2316,7,0,2538.5
Domantas Sabonis,IND,C,62,1147,771,310,30,47,54.0,72.3,25.4,214,441,17,170,2158,50,4,2521.2
Rudy Gobert,UTA,C,68,1026,916,101,134,51,69.3,63.0,,254,386,0,130,2332,49,0,2516.7
Andre Drummond,CLE,C,57,1010,864,152,93,109,53.3,57.5,14.3,169,413,5,203,1878,47,0,2475.8
Nikola Vucevic,ORL,C,62,1215,672,222,47,54,47.7,78.4,33.9,131,395,98,88,1998,41,0,2468.4
Donovan Mitchell,UTA,SG,69,1655,304,294,14,70,44.9,86.3,36.6,278,429,173,184,2364,1,0,2444.8
CJ McCollum,POR,SG,70,1556,297,310,42,54,45.1,75.7,37.9,140,417,194,127,2556,4,0,2442.4
