name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Chris Paul,OKC,PG,70,1232,349,472,11,111,48.9,90.7,36.5,253,323,111,161,2207,10,0,2441.8
Tobias Harris,PHI,SF,72,1410,495,227,40,53,47.1,80.5,36.7,173,422,131,104,2469,11,0,2426.5
Brandon Ingram,NO,SF,62,1477,380,259,38,61,46.3,85.1,39.1,313,357,150,189,2103,9,0,2330.5
Shai Gilgeous-Alexander,OKC,SG,70,1331,412,232,47,79,47.1,80.7,34.7,288,391,87,134,2428,9,1,2291.4
Pascal Siakam,TOR,PF,60,1371,439,207,53,61,45.3,79.2,35.9,240,369,131,148,2110,12,0,2288.3
Jimmy Butler,MIA,SG,58,1157,386,350,32,103,45.5,83.4,24.4,438,316,29,127,1959,11,3,2288.2
Zach LaVine,CHI,PG,60,1530,289,254,28,88,45.0,80.2,38.0,268,355,184,206,2085,2,0,2283.8
Jonas Valanciunas,MEM,C,70,1044,788,131,77,30,58.5,74.0,35.2,148,400,32,127,1845,39,1,2273.1
Ben Simmons,PHI,PG,57,937,444,455,33,119,58.0,62.1,28.6,185,373,2,200,2016,31,6,2256.3
Julius Randle,NY,PF,64,1248,622,198,22,51,46.0,73.3,27.7,258,399,64,193,2080,30,0,2244.4
Jrue Holiday,NO,PG,61,1167,293,408,48,99,45.5,70.9,35.3,129,336,122,184,2116,10,1,2240.6
Kristaps Porzingis,DAL,PF,57,1164,540,102,115,41,42.7,79.9,35.2,226,256,142,92,1813,25,0,2185.0
Spencer Dinwiddie,BKN,PG,64,1318,221,432,21,40,41.5,77.8,30.8,347,301,123,174,1994,9,0,2179.2
Joel Embiid,PHI,C,51,1173,593,152,65,45,47.7,80.7,33.1,352,325,57,159,1505,37,0,2173.6
Ja Morant,MEM,PG,67,1193,259,488,18,58,47.7,77.6,33.5,239,387,60,220,2074,15,2,2167.8
Kyle Lowry,TOR,PG,58,1126,292,433,26,82,41.6,85.7,35.2,294,170,164,178,2098,15,2,2163.9
Khris Middleton,MIL,SF,62,1297,382,265,7,53,49.7,91.6,41.5,208,324,147,137,1852,7,0,2135.9
Ricky Rubio,PHO,PG,65,847,304,570,11,94,41.5,86.3,36.1,195,209,78,173,2016,22,2,2103.8
Buddy Hield,SAC,SG,72,1382,328,213,17,66,42.9,84.6,39.4,115,227,271,168,2216,2,0,2093.1
Devonte' Graham,CHA,PG,63,1145,212,471,15,62,38.2,82.0,37.3,191,150,218,181,2211,17,0,2078.9
Montrezl Harrell,LAC,PF,63,1173,446,107,72,39,58.0,65.8,0.0,231,471,0,108,1749,12,0,1982.7
T.J. Warren,IND,SF,67,1326,280,99,34,78,53.6,81.9,40.3,167,443,91,84,2202,2,0,1950.5
Jarrett Allen,BKN,C,70,775,671,110,92,40,64.9,63.3,0.0,171,302,0,77,1851,30,0,1932.2
Lonzo Ball,NO,PG,63,745,383,438,38,88,40.3,56.6,37.5,43,129,148,193,2025,12,3,1920.6
Lou Williams,LAC,SG,65,1185,201,365,12,44,41.8,86.1,35.2,292,280,111,182,1863,2,0,1903.7
Al Horford,PHI,PF,67,798,456,270,61,52,45.0,76.2,35.0,61,220,99,80,2025,6,0,1896.2
Aaron Gordon,ORL,PF,62,894,475,228,39,51,43.7,67.4,30.8,151,262,73,100,2017,20,1,1886.0
Kevin Love,CLE,PF,56,987,547,178,19,33,45.0,85.4,37.4,187,181,146,140,1780,23,0,1874.4
De'Aaron Fox,SAC,PG,51,1077,196,348,25,74,48.0,70.5,29.2,241,337,54,158,1634,9,0,1874.2
Robert Covington,HOU,SF,70,870,463,88,94,114,42.2,79.8,33.5,99,144,161,103,2136,7,0,1870.6
Collin Sexton,CLE,PG,65,1349,204,192,7,65,47.2,84.6,38.0,226,416,97,158,2142,0,0,1867.8
Andrew Wiggins,GS,SF,54,1175,274,198,53,45,44.7,70.9,33.2,190,326,111,132,1858,4,1,1864.8
Dennis Schröder,OKC,PG,65,1229,236,262,14,45,46.9,83.9,38.5,198,328,125,166,1998,0,0,1857.2
Terry Rozier,CHA,PG,63,1134,276,259,10,61,42.3,87.4,40.7,166,226,172,141,2164,2,0,1854.7
Fred VanVleet,TOR,PG,54,952,203,357,17,100,41.3,84.8,39.0,168,173,146,121,1928,8,0,1844.1
Kemba Walker,BOS,PG,56,1145,217,268,28,48,42.5,86.4,38.1,209,198,180,117,1742,2,0,1842.4
Jamal Murray,DEN,PG,59,1091,236,284,17,67,45.6,88.1,34.6,163,296,112,127,1903,3,0,1841.2
LaMarcus Aldridge,SA,PF,53,1001,392,129,87,36,49.3,82.7,38.9,158,330,61,74,1754,14,0,1836.9
Jaylen Brown,BOS,SG,57,1159,364,118,20,65,48.1,72.4,38.2,176,298,129,125,1933,8,0,1817.8
Nemanja Bjelica,SAC,PF,72,831,458,203,40,62,48.1,82.1,41.9,69,180,134,99,2011,10,0,1790.1
Evan Fournier,ORL,SF,66,1221,171,209,15,71,46.7,81.8,39.9,180,261,173,125,2075,0,0,1786.7
Markelle Fultz,ORL,PG,72,870,238,369,11,90,46.5,73.0,26.7,116,323,36,147,1996,4,1,1764.1
Eric Bledsoe,MIL,PG,61,911,283,328,26,57,47.4,79.0,34.4,169,260,74,148,1646,2,0,1760.6
Dillon Brooks,MEM,SF,73,1181,243,150,27,63,40.7,80.8,35.8,164,288,147,124,2112,0,0,1753.6
Kelly Oubre Jr.,PHO,SF,56,1046,361,85,40,71,45.2,78.0,35.2,192,265,108,83,1933,9,0,1745.7
Steven Adams,OKC,C,63,684,583,146,67,51,59.2,58.2,33.3,117,282,1,94,1680,22,0,1744.6
Danilo Gallinari,OKC,SF,62,1160,322,119,5,42,43.8,89.3,40.5,266,180,178,76,1833,3,0,1742.9
Malcolm Brogdon,IND,PG,54,893,262,381,10,35,43.8,89.2,32.6,166,251,75,131,1666,9,0,1737.9
Harrison Barnes,SAC,SF,72,1046,355,159,12,43,46.0,80.1,38.1,214,263,102,88,2481,4,0,1732.5
Will Barton,DEN,SG,58,874,365,212,29,61,45.0,76.7,37.5,102,224,108,88,1915,7,0,1722.0
Dejounte Murray,SA,PG,66,720,383,271,17,111,46.2,79.8,36.9,91,253,41,125,1686,6,0,1717.1
Bojan Bogdanovic,UTA,SF,63,1275,259,131,7,34,44.7,90.3,41.4,250,229,189,159,2082,0,0,1705.3
Paul George,LAC,SF,48,1033,272,185,20,67,43.9,87.6,41.2,190,186,157,125,1418,5,0,1685.9
Brook Lopez,MIL,C,68,813,312,99,163,46,43.5,83.6,31.4,127,190,102,70,1816,4,0,1683.9
Alec Burks,PHI,SG,66,993,282,189,17,62,41.8,88.7,38.5,235,205,116,91,1754,1,0,1681.9
Gordon Hayward,BOS,SF,52,909,348,212,22,38,50.0,85.5,38.3,124,265,85,96,1740,8,0,1668.6
D'Angelo Russell,MIN,PG,45,1039,177,285,13,48,42.6,80.9,36.7,161,202,158,147,1452,3,0,1653.9
Karl-Anthony Towns,MIN,C,35,926,378,153,42,33,50.8,79.6,41.2,180,202,114,110,1187,24,0,1649.1
Marcus Smart,BOS,PG,60,776,225,291,29,101,37.5,83.6,34.7,127,119,137,103,1919,3,0,1639.5
Tim Hardaway Jr.,DAL,SF,71,1121,232,137,5,41,43.4,81.9,39.8,149,180,204,69,2091,0,0,1627.9
Tristan Thompson,CLE,C,57,684,577,120,50,33,51.2,61.5,39.1,99,279,9,103,1721,25,0,1619.4
Myles Turner,IND,C,62,749,407,72,132,46,45.7,75.1,34.4,127,182,86,85,1825,9,0,1616.4
Joe Ingles,UTA,SF,72,707,278,373,11,65,44.5,78.7,39.9,74,105,141,142,2136,3,0,1610.1
Kendrick Nunn,MIA,PG,67,1024,180,220,15,56,43.9,85.0,35.0,85,264,137,114,1962,0,0,1598.0
John Collins,ATL,PF,41,885,416,60,66,31,58.3,80.0,40.1,120,294,59,75,1361,22,0,1593.2
Marcus Morris Sr.,LAC,PF,62,1033,311,86,30,47,43.8,82.3,40.8,181,213,142,97,1936,3,0,1592.2
Ish Smith,WAS,PG,68,740,219,334,30,59,44.7,72.1,36.7,62,246,62,95,1787,1,0,1586.8
Jaren Jackson Jr.,MEM,PF,57,990,262,78,92,40,46.9,74.7,39.4,139,208,145,99,1622,3,0,1586.4
Goran Dragic,MIA,PG,59,953,187,301,10,40,44.1,77.6,36.7,191,195,124,144,1662,3,0,1584.9
Joe Harris,BKN,SF,69,998,298,144,17,41,48.6,71.9,42.4,64,209,172,104,2122,0,0,1583.6
Troy Brown Jr.,WAS,SF,69,716,383,178,7,85,43.9,78.4,34.1,109,212,61,79,1781,6,0,1547.6
Serge Ibaka,TOR,PF,55,845,452,77,46,28,51.2,71.8,38.5,89,273,70,109,1484,20,0,1541.9
Bogdan Bogdanovic,SAC,SG,61,924,207,207,15,64,44.0,74.1,37.2,86,173,164,102,1765,2,0,1538.9
Terrence Ross,ORL,SG,69,1016,222,82,24,77,40.3,85.3,35.1,157,164,177,70,1889,0,0,1537.4
OG Anunoby,TOR,SF,69,733,364,108,45,96,50.5,70.6,39.0,72,197,89,79,2065,5,0,1534.8
Jordan Clarkson,UTA,PG,71,1078,187,136,16,46,45.4,83.6,36.8,138,242,152,97,1704,0,0,1533.4
Miles Bridges,CHA,SF,65,843,362,114,48,40,42.4,80.9,33.0,106,220,99,95,1995,4,0,1529.4
Tomas Satoransky,CHI,PG,65,644,254,354,7,80,43.0,87.6,32.2,106,173,64,130,1877,3,0,1523.8
