game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
12,2022-11-26,37-331,LAL,False,SAS,W (+5),1,11,21,.524,7,12,.583,10,10,1.000,0,11,11,3,1,1,4,3,39,30.6
13,2022-11-28,37-333,LAL,True,IND,L (-1),1,8,22,.364,3,10,.300,2,3,.667,1,6,7,3,1,0,1,1,21,12.6
14,2022-11-30,37-335,LAL,True,POR,W (+19),1,12,18,.667,6,8,.750,1,3,.333,2,5,7,8,0,1,2,1,31,29.2
15,2022-12-02,37-337,LAL,False,MIL,W (+4),1,12,27,.444,3,6,.500,1,2,.500,1,7,8,11,2,0,0,2,28,25.2
16,2022-12-04,37-339,LAL,False,WAS,W (+11),1,12,26,.462,2,7,.286,3,4,.750,1,7,8,6,1,0,5,3,29,17.0
17,2022-12-06,37-341,LAL,False,CLE,L (-14),1,8,17,.471,2,6,.333,3,4,.750,4,13,17,4,1,1,3,0,21,20.1
,2022-12-07,37-342,LAL,False,TOR,L (-13),,,,,,,,,,,,,,,,,,,,
18,2022-12-09,37-344,LAL,False,PHI,L (-11),1,9,22,.409,1,8,.125,4,8,.500,1,3,4,6,2,0,3,3,23,13.2
19,2022-12-11,37-346,LAL,False,DET,W (+7),1,14,24,.583,2,6,.333,5,5,1.000,1,4,5,5,1,0,1,1,35,28.8
20,2022-12-13,37-348,LAL,True,BOS,L (-4),1,14,25,.560,3,11,.273,2,4,.500,0,9,9,9,2,1,4,4,33,26.4
21,2022-12-16,37-351,LAL,True,DEN,W (+18),1,13,21,.619,1,4,.250,3,4,.750,1,8,9,4,2,0,2,2,30,25.2
22,2022-12-18,37-353,LAL,True,WAS,W (+2),1,13,24,.542,1,4,.250,6,8,.750,1,6,7,9,0,1,0,0,33,30.1
,2022-12-19,37-354,LAL,False,PHO,L (-26),,,,,,,,,,,,,,,,,,,,
23,2022-12-21,37-356,LAL,False,SAC,L (-14),1,11,21,.524,0,4,.000,9,10,.900,0,6,6,11,0,2,2,0,31,29.2
24,2022-12-23,37-358,LAL,True,CHO,L (-4),1,15,23,.652,4,8,.500,0,2,.000,0,2,2,8,1,0,3,2,34,26.5
25,2022-12-25,37-360,LAL,False,DAL,L (-9),1,13,23,.565,0,4,.000,12,12,1.000,0,6,6,5,0,0,2,2,38,29.6
26,2022-12-27,37-362,LAL,False,ORL,W (+19),1,12,24,.500,0,7,.000,4,5,.800,2,5,7,5,1,1,4,1,28,19.3
27,2022-12-28,37-363,LAL,False,MIA,L (-14),1,10,18,.556,2,5,.400,5,5,1.000,0,9,9,6,0,0,6,4,27,17.7
28,2022-12-30,38-000,LAL,False,ATL,W (+9),1,18,27,.667,4,6,.667,7,9,.778,2,8,10,9,0,1,5,0,47,40.3
29,2023-01-02,38-003,LAL,False,CHO,W (+6),1,16,26,.615,0,5,.000,11,15,.733,0,11,11,6,1,0,3,1,43,34.7
,2023-01-04,38-005,LAL,True,MIA,W (+3),,,,,,,,,,,,,,,,,,,,
30,2023-01-06,38-007,LAL,True,ATL,W (+16),1,10,19,.526,1,5,.200,4,6,.667,0,7,7,10,0,0,5,0,25,19.0
31,2023-01-07,38-008,LAL,False,SAC,W (+2),1,14,28,.500,1,6,.167,8,9,.889,1,7,8,7,1,0,4,2,37,26.5
,2023-01-09,38-010,LAL,False,DEN,L (-13),,,,,,,,,,,,,,,,,,,,
32,2023-01-12,38-013,LAL,True,DAL,L (-4),1,9,28,.321,0,7,.000,6,10,.600,6,10,16,9,2,0,3,0,24,18.9
33,2023-01-15,38-016,LAL,True,PHI,L (-1),1,15,23,.652,1,5,.200,4,5,.800,0,8,8,10,1,1,3,1,35,32.2
34,2023-01-16,38-017,LAL,True,HOU,W (+8),1,16,26,.615,5,10,.500,11,12,.917,1,7,8,9,0,0,0,1,48,44.5
35,2023-01-18,38-019,LAL,True,SAC,L (-5),1,11,25,.440,2,9,.222,8,9,.889,0,8,8,9,1,1,1,0,32,27.9
36,2023-01-20,38-021,LAL,True,MEM,W (+1),1,8,21,.381,1,5,.200,6,7,.857,2,7,9,6,2,2,3,4,23,17.6
37,2023-01-22,38-023,LAL,False,POR,W (+9),1,14,24,.583,2,7,.286,7,10,.700,0,11,11,4,0,2,4,2,37,27.3
38,2023-01-24,38-025,LAL,True,LAC,L (-18),1,16,29,.552,9,14,.643,5,5,1.000,1,7,8,7,2,1,0,0,46,42.5
39,2023-01-25,38-026,LAL,True,SAS,W (+9),1,8,20,.400,1,6,.167,3,4,.750,1,8,9,11,0,0,6,0,20,13.6
40,2023-01-28,38-029,LAL,False,BOS,L (-4),1,15,30,.500,6,12,.500,5,6,.833,1,8,9,8,0,0,2,2,41,31.5
,2023-01-30,38-031,LAL,False,BRK,L (-17),,,,,,,,,,,,,,,,,,,,
41,2023-01-31,38-032,LAL,False,NYK,W (+6),1,11,25,.440,2,8,.250,4,7,.571,1,9,10,11,1,0,5,2,28,20.0
42,2023-02-02,38-034,LAL,False,IND,W (+1),1,11,19,.579,2,5,.400,2,2,1.000,2,5,7,7,0,0,3,1,26,21.5
43,2023-02-04,38-036,LAL,False,NOP,L (-5),1,10,22,.455,1,7,.143,6,9,.667,0,9,9,6,0,0,2,2,27,18.5
44,2023-02-07,38-039,LAL,True,OKC,L (-3),1,13,20,.650,4,6,.667,8,10,.800,0,7,7,3,3,0,4,3,38,30.4
,2023-02-09,38-041,LAL,True,MIL,L (-9),,,,,,,,,,,,,,,,,,,,
,2023-02-11,38-043,LAL,False,GSW,W (+6),,,,,,,,,,,,,,,,,,,,
,2023-02-13,38-045,LAL,False,POR,L (-12),,,,,,,,,,,,,,,,,,,,
45,2023-02-15,38-047,LAL,True,NOP,W (+18),1,7,14,.500,0,5,.000,7,10,.700,0,6,6,6,0,1,4,1,21,15.1
46,2023-02-23,38-055,LAL,True,GSW,W (+13),1,5,20,.250,2,6,.333,1,2,.500,3,6,9,8,0,0,2,2,13,7.3
47,2023-02-26,38-058,LAL,False,DAL,W (+3),1,10,23,.435,1,6,.167,5,7,.714,3,5,8,3,1,1,3,4,26,15.9
,2023-02-28,38-060,LAL,False,MEM,L (-12),,,,,,,,,,,,,,,,,,,,
,2023-03-01,38-061,LAL,False,OKC,W (+6),,,,,,,,,,,,,,,,,,,,
,2023-03-03,38-063,LAL,True,MIN,L (-8),,,,,,,,,,,,,,,,,,,,
,2023-03-05,38-065,LAL,True,GSW,W (+8),,,,,,,,,,,,,,,,,,,,
,2023-03-07,38-067,LAL,True,MEM,W (+9),,,,,,,,,,,,,,,,,,,,
,2023-03-10,38-070,LAL,True,TOR,W (+10),,,,,,,,,,,,,,,,,,,,
,2023-03-12,38-072,LAL,True,NYK,L (-4),,,,,,,,,,,,,,,,,,,,
,2023-03-14,38-074,LAL,False,NOP,W (+15),,,,,,,,,,,,,,,,,,,,
,2023-03-15,38-075,LAL,False,HOU,L (-4),,,,,,,,,,,,,,,,,,,,
,2023-03-17,38-077,LAL,True,DAL,L (-1),,,,,,,,,,,,,,,,,,,,
,2023-03-19,38-079,LAL,True,ORL,W (+6),,,,,,,,,,,,,,,,,,,,
,2023-03-22,38-082,LAL,True,PHO,W (+11),,,,,,,,,,,,,,,,,,,,
,2023-03-24,38-084,LAL,True,OKC,W (+5),,,,,,,,,,,,,,,,,,,,
48,2023-03-26,38-086,LAL,True,CHI,L (-10),0,6,11,.545,0,2,.000,7,8,.875,1,7,8,3,0,0,5,2,19,12.4
49,2023-03-29,38-089,LAL,False,CHI,W (+11),1,10,19,.526,1,3,.333,4,4,1.000,3,5,8,4,2,0,4,2,25,19.3
50,2023-03-31,38-091,LAL,False,MIN,W (+12),1,7,19,.368,1,3,.333,3,4,.750,1,9,10,6,1,2,3,1,18,13.7
51,2023-04-02,38-093,LAL,False,HOU,W (+25),1,8,18,.444,1,7,.143,1,1,1.000,2,8,10,11,0,1,1,1,18,19.4
52,2023-04-04,38-095,LAL,False,UTA,W (+2),1,14,27,.519,3,10,.300,6,6,1.000,0,5,5,6,1,1,5,2,37,25.3
53,2023-04-05,38-096,LAL,False,LAC,L (-7),1,13,20,.650,4,6,.667,3,5,.600,0,8,8,7,1,1,6,0,33,26.4
54,2023-04-07,38-098,LAL,True,PHO,W (+14),1,6,19,.316,3,7,.429,1,2,.500,0,6,6,6,0,0,5,1,16,5.3
55,2023-04-09,38-100,LAL,True,UTA,W (+11),1,13,25,.520,8,14,.571,2,2,1.000,1,5,6,6,1,1,2,0,36,29.8
