game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2022-10-18,37-292,LAL,False,GSW,L (-14),1,12,26,.462,3,10,.300,4,4,1.000,5,10,15,8,0,0,5,2,31,23.9
2,2022-10-20,37-294,LAL,True,LAC,L (-6),1,7,17,.412,2,8,.250,4,6,.667,2,8,10,6,1,2,2,3,20,17.3
3,2022-10-23,37-297,LAL,True,POR,L (-2),1,12,22,.545,2,9,.222,5,7,.714,1,7,8,8,2,2,4,3,31,26.2
4,2022-10-26,37-300,LAL,False,DEN,L (-11),1,8,21,.381,2,8,.250,1,2,.500,2,5,7,9,1,0,8,1,19,8.9
5,2022-10-28,37-302,LAL,False,MIN,L (-9),1,10,24,.417,1,6,.167,7,8,.875,3,4,7,5,4,0,3,2,28,21.8
6,2022-10-30,37-304,LAL,True,DEN,W (+11),1,10,22,.455,2,5,.400,4,5,.800,0,6,6,8,1,0,3,1,26,19.2
7,2022-11-02,37-307,LAL,True,NOP,W (+3),1,9,23,.391,0,7,.000,2,4,.500,0,10,10,8,0,2,2,3,20,13.5
8,2022-11-04,37-309,LAL,True,UTA,L (-14),1,7,19,.368,0,5,.000,3,5,.600,2,8,10,8,0,1,3,3,17,11.6
9,2022-11-06,37-311,LAL,True,CLE,L (-14),1,13,23,.565,1,4,.250,0,3,.000,2,5,7,4,0,0,1,0,27,19.6
,2022-11-07,37-312,LAL,False,UTA,L (-23),,,,,,,,,,,,,,,,,,,,
10,2022-11-09,37-314,LAL,False,LAC,L (-13),1,12,22,.545,4,9,.444,2,4,.500,1,7,8,5,2,0,3,2,30,23.1
,2022-11-11,37-316,LAL,True,SAC,L (-6),,,,,,,,,,,,,,,,,,,,
,2022-11-13,37-318,LAL,True,BRK,W (+13),,,,,,,,,,,,,,,,,,,,
,2022-11-18,37-323,LAL,True,DET,W (+7),,,,,,,,,,,,,,,,,,,,
,2022-11-20,37-325,LAL,True,SAS,W (+31),,,,,,,,,,,,,,,,,,,,
,2022-11-22,37-327,LAL,False,PHO,L (-10),,,,,,,,,,,,,,,,,,,,
11,2022-11-25,37-330,LAL,False,SAS,W (+11),1,8,17,.471,1,4,.250,4,4,1.000,0,8,8,5,3,1,9,2,21,12.1
