game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2021-10-19,36-293,LAL,True,GSW,L (-7),1,13,23,.565,5,11,.455,3,6,.500,1,10,11,5,1,1,4,5,34,24.8
2,2021-10-22,36-296,LAL,True,PHO,L (-10),1,8,18,.444,5,9,.556,4,4,1.000,0,2,2,5,2,0,5,4,25,15.1
3,2021-10-24,36-298,LAL,True,MEM,W (+3),1,7,19,.368,4,9,.444,1,2,.500,0,6,6,6,2,2,3,1,19,14.1
,2021-10-26,36-300,LAL,False,SAS,W (+4),,,,,,,,,,,,,,,,,,,,
,2021-10-27,36-301,LAL,False,OKC,L (-8),,,,,,,,,,,,,,,,,,,,
4,2021-10-29,36-303,LAL,True,CLE,W (+12),1,10,22,.455,1,10,.100,5,5,1.000,1,2,3,8,3,1,7,1,26,17.8
5,2021-10-31,36-305,LAL,True,HOU,W (+10),1,6,19,.316,0,6,.000,3,4,.750,1,6,7,8,4,1,2,0,15,14.5
6,2021-11-02,36-307,LAL,True,HOU,W (+2),1,13,21,.619,2,4,.500,2,2,1.000,0,4,4,10,2,0,4,3,30,25.5
,2021-11-04,36-309,LAL,True,OKC,L (-3),,,,,,,,,,,,,,,,,,,,
,2021-11-06,36-311,LAL,False,POR,L (-15),,,,,,,,,,,,,,,,,,,,
,2021-11-08,36-313,LAL,True,CHO,W (+3),,,,,,,,,,,,,,,,,,,,
,2021-11-10,36-315,LAL,True,MIA,W (+3),,,,,,,,,,,,,,,,,,,,
,2021-11-12,36-317,LAL,True,MIN,L (-24),,,,,,,,,,,,,,,,,,,,
,2021-11-14,36-319,LAL,True,SAS,W (+8),,,,,,,,,,,,,,,,,,,,
,2021-11-15,36-320,LAL,True,CHI,L (-18),,,,,,,,,,,,,,,,,,,,
,2021-11-17,36-322,LAL,False,MIL,L (-7),,,,,,,,,,,,,,,,,,,,
7,2021-11-19,36-324,LAL,False,BOS,L (-22),1,10,16,.625,3,7,.429,0,1,.000,1,5,6,2,2,0,3,3,23,16.8
8,2021-11-21,36-326,LAL,False,DET,W (+5),1,4,7,.571,1,3,.333,1,1,1.000,0,1,1,5,0,0,2,1,10,8.1
,2021-11-23,36-328,LAL,False,NYK,L (-6),,,,,,,,,,,,,,,,,,,,
9,2021-11-24,36-329,LAL,False,IND,W (+8),1,13,29,.448,5,12,.417,8,9,.889,0,5,5,6,1,2,2,2,39,28.8
10,2021-11-26,36-331,LAL,True,SAC,L (-4),1,10,25,.400,2,13,.154,8,11,.727,1,6,7,11,1,0,7,4,30,17.9
11,2021-11-28,36-333,LAL,True,DET,W (+4),1,12,20,.600,4,9,.444,5,8,.625,0,5,5,9,2,1,2,1,33,30.7
,2021-11-30,36-335,LAL,False,SAC,W (+25),,,,,,,,,,,,,,,,,,,,
12,2021-12-03,36-338,LAL,True,LAC,L (-4),1,9,23,.391,2,8,.250,3,5,.600,3,8,11,6,2,0,3,2,23,16.6
13,2021-12-07,36-342,LAL,True,BOS,W (+15),1,13,19,.684,2,5,.400,2,2,1.000,2,2,4,5,0,0,3,2,30,23.6
14,2021-12-09,36-344,LAL,False,MEM,L (-13),1,7,15,.467,1,6,.167,5,5,1.000,0,10,10,11,4,2,5,1,20,23.0
15,2021-12-10,36-345,LAL,False,OKC,W (+21),1,13,20,.650,4,6,.667,3,4,.750,0,5,5,6,3,2,2,2,33,31.1
16,2021-12-12,36-347,LAL,True,ORL,W (+12),1,12,20,.600,3,7,.429,3,4,.750,1,10,11,10,0,3,6,2,30,26.4
17,2021-12-15,36-350,LAL,False,DAL,W (+3),1,9,19,.474,4,9,.444,2,3,.667,0,3,3,5,1,0,2,1,24,16.9
18,2021-12-17,36-352,LAL,False,MIN,L (-18),1,5,13,.385,2,6,.333,6,8,.750,1,9,10,5,1,2,4,5,18,13.4
19,2021-12-19,36-354,LAL,False,CHI,L (-5),1,11,21,.524,1,7,.143,8,11,.727,1,13,14,6,1,2,4,5,31,24.7
20,2021-12-21,36-356,LAL,True,PHO,L (-18),1,13,19,.684,2,5,.400,6,6,1.000,0,7,7,2,2,0,2,1,34,29.0
21,2021-12-23,36-358,LAL,True,SAS,L (-28),1,15,26,.577,2,7,.286,4,6,.667,2,7,9,6,1,2,3,2,36,29.3
22,2021-12-25,36-360,LAL,True,BRK,L (-7),1,14,25,.560,3,9,.333,8,9,.889,1,8,9,7,3,1,3,2,39,34.6
23,2021-12-28,36-363,LAL,False,HOU,W (+9),1,11,19,.579,3,5,.600,7,9,.778,4,6,10,11,1,2,3,3,32,32.8
24,2021-12-29,36-364,LAL,False,MEM,L (-5),1,13,25,.520,8,14,.571,3,3,1.000,2,11,13,7,2,2,5,1,37,32.3
25,2021-12-31,37-001,LAL,True,POR,W (+33),1,16,26,.615,5,10,.500,6,9,.667,2,12,14,4,2,2,0,1,43,40.8
26,2022-01-02,37-003,LAL,True,MIN,W (+5),1,7,15,.467,3,9,.333,9,12,.750,0,7,7,5,3,1,1,2,26,24.6
27,2022-01-04,37-005,LAL,True,SAC,W (+8),1,12,26,.462,3,10,.300,4,5,.800,2,3,5,5,0,1,2,3,31,20.5
28,2022-01-07,37-008,LAL,True,ATL,W (+16),1,13,24,.542,1,6,.167,5,5,1.000,1,7,8,9,4,3,4,4,32,30.0
29,2022-01-09,37-010,LAL,True,MEM,L (-8),1,14,19,.737,3,4,.750,4,4,1.000,6,3,9,7,0,0,3,4,35,32.7
30,2022-01-12,37-013,LAL,False,SAC,L (-9),1,13,29,.448,3,12,.250,5,10,.500,1,6,7,6,0,1,1,2,34,22.5
31,2022-01-15,37-016,LAL,False,DEN,L (-37),1,9,23,.391,2,8,.250,5,7,.714,1,8,9,2,0,2,1,0,25,16.6
32,2022-01-17,37-018,LAL,True,UTA,W (+6),1,9,20,.450,3,8,.375,4,8,.500,0,7,7,7,1,1,1,1,25,20.3
33,2022-01-19,37-020,LAL,True,IND,L (-7),1,11,22,.500,3,7,.429,5,7,.714,1,11,12,5,2,0,3,1,30,24.3
34,2022-01-21,37-022,LAL,False,ORL,W (+11),1,12,23,.522,2,7,.286,3,3,1.000,1,6,7,5,1,1,6,3,29,18.2
35,2022-01-23,37-024,LAL,False,MIA,L (-6),1,12,22,.545,1,8,.125,8,11,.727,2,9,11,4,2,0,3,4,33,25.5
36,2022-01-25,37-026,LAL,False,BRK,W (+10),1,14,21,.667,2,8,.250,3,3,1.000,0,7,7,6,3,2,0,1,33,34.2
,2022-01-27,37-028,LAL,False,PHI,L (-18),,,,,,,,,,,,,,,,,,,,
,2022-01-28,37-029,LAL,False,CHO,L (-3),,,,,,,,,,,,,,,,,,,,
,2022-01-30,37-031,LAL,False,ATL,L (-8),,,,,,,,,,,,,,,,,,,,
,2022-02-02,37-034,LAL,True,POR,W (+5),,,,,,,,,,,,,,,,,,,,
,2022-02-03,37-035,LAL,False,LAC,L (-1),,,,,,,,,,,,,,,,,,,,
37,2022-02-05,37-037,LAL,True,NYK,W (+7),1,13,24,.542,2,7,.286,1,2,.500,3,10,13,10,1,0,3,3,29,25.9
38,2022-02-08,37-040,LAL,True,MIL,L (-15),1,11,19,.579,3,7,.429,2,4,.500,0,5,5,8,0,0,4,4,27,18.8
39,2022-02-09,37-041,LAL,False,POR,L (-2),1,13,22,.591,3,7,.429,1,1,1.000,0,7,7,7,3,0,6,1,30,23.4
40,2022-02-12,37-044,LAL,False,GSW,L (-2),1,9,27,.333,3,10,.300,5,9,.556,3,12,15,8,0,0,4,3,26,15.2
41,2022-02-16,37-048,LAL,True,UTA,W (+5),1,14,23,.609,3,8,.375,2,2,1.000,1,7,8,6,2,0,3,1,33,28.1
42,2022-02-25,37-057,LAL,True,LAC,L (-3),1,6,18,.333,2,8,.250,7,8,.875,1,10,11,3,1,1,6,1,21,11.5
43,2022-02-27,37-059,LAL,True,NOP,L (-28),1,13,23,.565,1,4,.250,5,5,1.000,0,6,6,3,2,2,7,2,32,20.6
44,2022-03-01,37-061,LAL,True,DAL,L (-5),1,10,18,.556,3,7,.429,3,5,.600,0,12,12,5,1,0,4,2,26,19.9
45,2022-03-03,37-063,LAL,False,LAC,L (-21),1,8,18,.444,2,9,.222,8,10,.800,1,7,8,4,0,1,4,2,26,17.3
46,2022-03-05,37-065,LAL,True,GSW,W (+8),1,19,31,.613,6,11,.545,12,13,.923,2,8,10,3,0,1,4,0,56,44.1
,2022-03-07,37-067,LAL,False,SAS,L (-7),,,,,,,,,,,,,,,,,,,,
47,2022-03-09,37-069,LAL,False,HOU,L (-9),1,9,26,.346,1,9,.111,4,6,.667,2,12,14,12,1,4,5,1,23,19.4
48,2022-03-11,37-071,LAL,True,WAS,W (+13),1,18,25,.720,6,9,.667,8,8,1.000,0,7,7,6,0,1,3,3,50,42.5
49,2022-03-13,37-073,LAL,False,PHO,L (-29),1,10,20,.500,5,11,.455,6,7,.857,0,7,7,6,0,1,4,0,31,23.6
50,2022-03-14,37-074,LAL,True,TOR,L (-11),1,11,19,.579,4,7,.571,4,7,.571,3,6,9,3,0,2,5,4,30,20.7
51,2022-03-16,37-076,LAL,False,MIN,L (-20),1,8,21,.381,1,8,.125,2,5,.400,0,5,5,4,1,2,5,5,19,6.0
52,2022-03-18,37-078,LAL,False,TOR,W (+5),1,15,26,.577,2,7,.286,4,7,.571,4,5,9,7,0,2,3,2,36,29.4
53,2022-03-19,37-079,LAL,False,WAS,L (-8),1,16,29,.552,4,10,.400,2,3,.667,2,8,10,6,0,0,2,3,38,28.5
54,2022-03-21,37-081,LAL,False,CLE,W (+11),1,17,29,.586,0,4,.000,4,4,1.000,1,9,10,12,1,1,3,0,38,35.0
,2022-03-23,37-083,LAL,True,PHI,L (-5),,,,,,,,,,,,,,,,,,,,
55,2022-03-27,37-087,LAL,False,NOP,L (-8),1,14,27,.519,7,13,.538,4,6,.667,1,8,9,5,0,1,4,1,39,27.8
,2022-03-29,37-089,LAL,False,DAL,L (-18),,,,,,,,,,,,,,,,,,,,
,2022-03-31,37-091,LAL,False,UTA,L (-13),,,,,,,,,,,,,,,,,,,,
56,2022-04-01,37-092,LAL,True,NOP,L (-3),1,13,23,.565,3,8,.375,9,12,.750,0,8,8,4,1,0,6,3,38,24.9
,2022-04-03,37-094,LAL,True,DEN,L (-11),,,,,,,,,,,,,,,,,,,,
,2022-04-05,37-096,LAL,False,PHO,L (-11),,,,,,,,,,,,,,,,,,,,
,2022-04-07,37-098,LAL,False,GSW,L (-16),,,,,,,,,,,,,,,,,,,,
,2022-04-08,37-099,LAL,True,OKC,W (+19),,,,,,,,,,,,,,,,,,,,
,2022-04-10,37-101,LAL,False,DEN,W (+5),,,,,,,,,,,,,,,,,,,,
